metric,processor,processor_label,model,model_label,status,count,min,q1,median,q3,max,mean,iqr,lower_whisker,upper_whisker,n_outliers
latency,psg,PySG-CPU,codestral,Co22B,success,11,18.22,45.935,51.4,58.415000000000006,75.8,50.58181818181818,12.480000000000004,37.56,75.8,1
latency,psg,PySG-CPU,codestral,Co22B,failure,49,45.19,63.69,68.96,74.68,83.67,68.41734693877551,10.990000000000009,49.69,83.67,1
latency,psg,PySG-CPU,gemma3,Ge3,success,41,26.9,58.1,83.57,96.78,117.81,77.03073170731707,38.68,26.9,117.81,0
latency,psg,PySG-CPU,gemma3,Ge3,failure,19,98.97,102.15,103.39,131.695,155.17,115.39631578947369,29.544999999999987,98.97,155.17,0
latency,psg,PySG-CPU,gpt-5,G5,success,29,79.92,107.01,130.61,173.86,195.76,138.42310344827587,66.85000000000001,79.92,195.76,0
latency,psg,PySG-CPU,gpt-5,G5,failure,1,511.64,511.64,511.64,511.64,511.64,511.64,0.0,511.64,511.64,0
latency,psg,PySG-CPU,phi4,Phi4,success,48,13.72,13.9375,14.075,22.53,91.5,28.13958333333333,8.592500000000001,13.72,16.6,12
latency,psg,PySG-CPU,phi4,Phi4,failure,12,79.14,83.92999999999999,87.35,94.35249999999999,102.67,89.16583333333334,10.4225,79.14,102.67,0
latency,psg,PySG-CPU,qwen14,Qw14B,success,25,10.22,23.91,27.39,38.27,56.79,30.1552,14.360000000000003,10.22,56.79,0
latency,psg,PySG-CPU,qwen14,Qw14B,failure,35,37.33,41.055,42.3,44.625,66.26,46.19057142857144,3.5700000000000003,37.33,46.72,7
latency,psg,PySG-CPU,qwen32,Qw32B,success,31,18.41,21.61,107.18,158.58499999999998,249.71,101.91516129032257,136.97499999999997,18.41,249.71,0
latency,psg,PySG-CPU,qwen32,Qw32B,failure,29,121.76,132.21,167.96,182.6,263.98,165.16034482758621,50.389999999999986,121.76,241.24,1
latency,tpusg,PySG-TPU,codestral,Co22B,success,18,17.02,44.3125,61.465,68.87,85.36,57.26111111111111,24.557500000000005,17.02,85.36,0
latency,tpusg,PySG-TPU,codestral,Co22B,failure,42,38.17,61.795,75.43,89.3425,176.51,77.2647619047619,27.5475,38.17,123.79,1
latency,tpusg,PySG-TPU,gemma3,Ge3,success,2,87.37,104.66,121.95,139.24,156.53,121.95,34.58000000000001,87.37,156.53,0
latency,tpusg,PySG-TPU,gemma3,Ge3,failure,58,116.28,141.87,144.005,152.085,183.62,146.97586206896548,10.215000000000003,134.82,165.5,3
latency,tpusg,PySG-TPU,gpt-5,G5,success,27,71.66,107.71000000000001,147.25,172.685,332.47,149.4477777777778,64.975,71.66,225.28,1
latency,tpusg,PySG-TPU,gpt-5,G5,failure,3,334.75,386.90999999999997,439.07,445.42499999999995,451.78,408.5333333333333,58.514999999999986,334.75,451.78,0
latency,tpusg,PySG-TPU,phi4,Phi4,success,60,16.08,19.985,20.18,22.285,97.05,26.825333333333333,2.3000000000000007,17.29,23.23,16
latency,tpusg,PySG-TPU,qwen14,Qw14B,success,60,12.65,13.56,13.59,27.752499999999998,82.72,19.684833333333334,14.192499999999997,12.65,45.55,2
latency,tpusg,PySG-TPU,qwen32,Qw32B,success,48,23.42,24.6325,59.980000000000004,154.0675,209.59,87.39854166666665,129.435,23.42,209.59,0
latency,tpusg,PySG-TPU,qwen32,Qw32B,failure,12,196.81,200.515,205.60000000000002,232.575,236.94,214.31916666666663,32.06,196.81,236.94,0
total_tokens,psg,PySG-CPU,codestral,Co22B,success,11,2804.0,8323.5,10394.0,10985.5,11940.0,9291.181818181818,2662.0,7832.0,11940.0,1
total_tokens,psg,PySG-CPU,codestral,Co22B,failure,49,12203.0,13238.0,13562.0,13887.0,14372.0,13518.775510204081,649.0,12482.0,14372.0,1
total_tokens,psg,PySG-CPU,gemma3,Ge3,success,41,2402.0,5239.0,10434.0,13223.0,13499.0,8781.731707317073,7984.0,2402.0,13499.0,0
total_tokens,psg,PySG-CPU,gemma3,Ge3,failure,19,13169.0,13421.5,13512.0,13589.0,13863.0,13520.421052631578,167.5,13268.0,13823.0,2
total_tokens,psg,PySG-CPU,gpt-5,G5,success,29,7429.0,8900.0,10022.0,11106.0,21150.0,10262.620689655172,2206.0,7429.0,12546.0,1
total_tokens,psg,PySG-CPU,gpt-5,G5,failure,1,65422.0,65422.0,65422.0,65422.0,65422.0,65422.0,0.0,65422.0,65422.0,0
total_tokens,psg,PySG-CPU,phi4,Phi4,success,48,2233.0,2242.0,2243.5,3151.25,14073.0,4387.0625,909.25,2233.0,2371.0,12
total_tokens,psg,PySG-CPU,phi4,Phi4,failure,12,13466.0,13672.75,13797.5,14112.75,14467.0,13913.666666666666,440.0,13466.0,14467.0,0
total_tokens,psg,PySG-CPU,qwen14,Qw14B,success,25,2220.0,5081.0,5296.0,8023.0,13142.0,6506.48,2942.0,2220.0,10873.0,1
total_tokens,psg,PySG-CPU,qwen14,Qw14B,failure,35,11834.0,12057.0,12139.0,12281.5,13747.0,12395.057142857142,224.5,11834.0,12408.0,7
total_tokens,psg,PySG-CPU,qwen32,Qw32B,success,31,2243.0,2358.5,10988.0,13770.0,15870.0,8795.0,11411.5,2243.0,15870.0,0
total_tokens,psg,PySG-CPU,qwen32,Qw32B,failure,29,13692.0,13982.0,14129.0,14374.0,16284.0,14303.51724137931,392.0,13692.0,14789.0,3
total_tokens,tpusg,PySG-TPU,codestral,Co22B,success,18,2920.0,6914.5,9378.0,12236.5,13769.0,9564.0,5322.0,2920.0,13769.0,0
total_tokens,tpusg,PySG-TPU,codestral,Co22B,failure,42,12012.0,13249.5,14000.0,14536.75,16582.0,14010.809523809523,1287.25,12012.0,15814.0,1
total_tokens,tpusg,PySG-TPU,gemma3,Ge3,success,2,9202.0,10854.0,12506.0,14158.0,15810.0,12506.0,3304.0,9202.0,15810.0,0
total_tokens,tpusg,PySG-TPU,gemma3,Ge3,failure,58,12287.0,15245.0,15318.5,15606.25,16162.0,15359.724137931034,361.25,14975.0,16061.0,2
total_tokens,tpusg,PySG-TPU,gpt-5,G5,success,27,8212.0,8810.0,9417.0,10402.5,40813.0,11095.555555555555,1592.5,8212.0,11268.0,2
total_tokens,tpusg,PySG-TPU,gpt-5,G5,failure,3,47849.0,48006.5,48164.0,51693.0,55222.0,50411.666666666664,3686.5,47849.0,55222.0,0
total_tokens,tpusg,PySG-TPU,phi4,Phi4,success,60,2525.0,2746.25,2750.0,2829.75,12308.0,3523.7833333333333,83.5,2649.0,2906.0,16
total_tokens,tpusg,PySG-TPU,qwen14,Qw14B,success,60,2576.0,2609.0,2609.0,3420.5,14964.0,3687.2,811.5,2576.0,2722.0,15
total_tokens,tpusg,PySG-TPU,qwen32,Qw32B,success,48,2618.0,2665.25,5925.0,11735.25,15162.0,7288.25,9070.0,2618.0,15162.0,0
total_tokens,tpusg,PySG-TPU,qwen32,Qw32B,failure,12,14822.0,14889.0,14968.0,15444.25,15898.0,15177.416666666666,555.25,14822.0,15898.0,0
