name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model
c3f0_pysg,c3f0ca35,codestral_9eb0_psg,failure,83.67,14354,10052,4302,0,0,0,F,psg,codestral
2e1b_pysg,2e1b6dc7,codestral_9eb0_psg,success,18.22,2804,1860,944,0,0,0,F,psg,codestral
04f1_pysg,04f13a31,codestral_9eb0_psg,failure,45.19,12203,10052,2151,0,0,0,F,psg,codestral
ef2f_pysg,ef2f63ba,codestral_9eb0_psg,success,51.4,8602,5956,2646,0,0,0,F,psg,codestral
5052_pysg,50529bc5,codestral_9eb0_psg,failure,63.69,13238,10052,3186,0,0,0,F,psg,codestral
459c_pysg,459ca5b9,codestral_9eb0_psg,failure,53.66,12676,10052,2624,0,0,0,F,psg,codestral
1c24_pysg,1c24afd9,codestral_9eb0_psg,failure,73.07,13761,10052,3709,0,0,0,F,psg,codestral
21e6_pysg,21e6eeda,codestral_9eb0_psg,failure,53.08,12644,10052,2592,0,0,0,F,psg,codestral
e56d_pysg,e56d5692,codestral_9eb0_psg,failure,75.53,13896,10052,3844,0,0,0,F,psg,codestral
e079_pysg,e07955a4,codestral_9eb0_psg,failure,83.0,14317,10052,4265,0,0,0,F,psg,codestral
9efc_pysg,9efc3663,codestral_9eb0_psg,failure,69.65,13572,10052,3520,0,0,0,F,psg,codestral
ad50_pysg,ad50fd29,codestral_9eb0_psg,success,37.56,7832,5956,1876,0,0,0,F,psg,codestral
7a6e_pysg,7a6e6c4c,codestral_9eb0_psg,failure,68.76,13514,10052,3462,0,0,0,F,psg,codestral
cb93_pysg,cb93fee2,codestral_9eb0_psg,success,58.63,10984,8004,2980,0,0,0,F,psg,codestral
eec4_pysg,eec4f5fa,codestral_9eb0_psg,failure,69.06,13538,10052,3486,0,0,0,F,psg,codestral
33ea_pysg,33ea5ba9,codestral_9eb0_psg,failure,55.38,12771,10052,2719,0,0,0,F,psg,codestral
75f9_pysg,75f9cd3b,codestral_9eb0_psg,failure,54.64,12732,10052,2680,0,0,0,F,psg,codestral
598d_pysg,598d0f9e,codestral_9eb0_psg,failure,76.5,13952,10052,3900,0,0,0,F,psg,codestral
bc33_pysg,bc3371fc,codestral_9eb0_psg,failure,78.29,14053,10052,4001,0,0,0,F,psg,codestral
6c45_pysg,6c45a44d,codestral_9eb0_psg,failure,53.01,12643,10052,2591,0,0,0,F,psg,codestral
8d09_pysg,8d09642f,codestral_9eb0_psg,success,75.8,11940,8004,3936,0,0,0,F,psg,codestral
5b10_pysg,5b1048a5,codestral_9eb0_psg,failure,80.59,14176,10052,4124,0,0,0,F,psg,codestral
6fc4_pysg,6fc427e4,codestral_9eb0_psg,failure,68.65,13516,10052,3464,0,0,0,F,psg,codestral
df00_pysg,df00fd9e,codestral_9eb0_psg,failure,61.78,13134,10052,3082,0,0,0,F,psg,codestral
e382_pysg,e382acfd,codestral_9eb0_psg,failure,78.12,14044,10052,3992,0,0,0,F,psg,codestral
6bb4_pysg,6bb447bb,codestral_9eb0_psg,failure,67.82,13467,10052,3415,0,0,0,F,psg,codestral
00cb_pysg,00cba1df,codestral_9eb0_psg,failure,80.71,14190,10052,4138,0,0,0,F,psg,codestral
304c_pysg,304c0ebe,codestral_9eb0_psg,failure,66.12,13373,10052,3321,0,0,0,F,psg,codestral
63b8_pysg,63b89a71,codestral_9eb0_psg,failure,69.67,13562,10052,3510,0,0,0,F,psg,codestral
4076_pysg,4076f460,codestral_9eb0_psg,failure,71.52,13677,10052,3625,0,0,0,F,psg,codestral
8caa_tpusg,8caa211a,codestral_9eb0_tpusg,failure,176.51,15386,10240,5146,0,0,0,F,tpusg,codestral
6916_tpusg,6916c8e7,codestral_9eb0_tpusg,failure,76.6,14137,10240,3897,0,0,0,F,tpusg,codestral
cd35_tpusg,cd35e47a,codestral_9eb0_tpusg,success,79.28,12312,8192,4120,0,0,0,F,tpusg,codestral
3b1d_tpusg,3b1d8b42,codestral_9eb0_tpusg,failure,74.2,14000,10240,3760,0,0,0,F,tpusg,codestral
af79_tpusg,af798558,codestral_9eb0_tpusg,failure,61.3,13287,10240,3047,0,0,0,F,tpusg,codestral
