name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model
0cb0_tpusg,0cb09b9c,gemma3:27b_04fd_tpusg,failure,183.62,15480,10158,5322,0,0,0,F,tpusg,gemma3
4931_tpusg,493141d8,gemma3:27b_04fd_tpusg,failure,152.46,15648,10158,5490,0,0,0,F,tpusg,gemma3
9455_tpusg,94553bd3,gemma3:27b_04fd_tpusg,failure,154.36,15723,10158,5565,0,0,0,F,tpusg,gemma3
2b83_tpusg,2b830517,gemma3:27b_04fd_tpusg,failure,146.38,15422,10158,5264,0,0,0,F,tpusg,gemma3
d0b5_tpusg,d0b56e1d,gemma3:27b_04fd_tpusg,failure,148.85,15514,10158,5356,0,0,0,F,tpusg,gemma3
c956_tpusg,c956f84e,gemma3:27b_04fd_tpusg,failure,145.48,15379,10158,5221,0,0,0,F,tpusg,gemma3
e845_tpusg,e8454610,gemma3:27b_04fd_tpusg,failure,156.94,15824,10158,5666,0,0,0,F,tpusg,gemma3
fd40_tpusg,fd403fc0,gemma3:27b_04fd_tpusg,failure,148.18,15484,10158,5326,0,0,0,F,tpusg,gemma3
9068_tpusg,90680e9a,gemma3:27b_04fd_tpusg,failure,155.97,15793,10158,5635,0,0,0,F,tpusg,gemma3
38b6_tpusg,38b6e653,gemma3:27b_04fd_tpusg,failure,116.28,12287,8110,4177,0,0,0,F,tpusg,gemma3
62d8_tpusg,62d8652c,gemma3:27b_04fd_tpusg,failure,146.89,15434,10158,5276,0,0,0,F,tpusg,gemma3
5f1d_tpusg,5f1d4ea8,gemma3:27b_04fd_tpusg,failure,137.84,15090,10158,4932,0,0,0,F,tpusg,gemma3
7be2_tpusg,7be24bc5,gemma3:27b_04fd_tpusg,failure,151.61,15621,10158,5463,0,0,0,F,tpusg,gemma3
a7b0_tpusg,a7b08e90,gemma3:27b_04fd_tpusg,success,87.37,9202,6062,3140,0,0,0,F,tpusg,gemma3
470d_tpusg,470d8057,gemma3:27b_04fd_tpusg,success,156.53,15810,10158,5652,0,0,0,F,tpusg,gemma3
613e_tpusg,613e3500,gemma3:27b_04fd_tpusg,failure,154.04,15717,10158,5559,0,0,0,F,tpusg,gemma3
cd92_tpusg,cd923ebe,gemma3:27b_04fd_tpusg,failure,143.7,15314,10158,5156,0,0,0,F,tpusg,gemma3
9d4b_tpusg,9d4b96e2,gemma3:27b_04fd_tpusg,failure,141.68,15237,10158,5079,0,0,0,F,tpusg,gemma3
46aa_tpusg,46aa2a73,gemma3:27b_04fd_tpusg,failure,154.12,15719,10158,5561,0,0,0,F,tpusg,gemma3
