name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model
4cfd_tpu_sketch_generator,4cfdc411,gpt-5-2025-08-07_40f1_tpusg_batch,success,173.32,10338,1764,8574,0.087945,0,0,F,tpusg,gpt-5
ac40_tpu_sketch_generator,ac40d148,gpt-5-2025-08-07_40f1_tpusg_batch,success,147.25,8481,1764,6717,0.069375,0,0,F,tpusg,gpt-5
7224_tpu_sketch_generator,72247c08,gpt-5-2025-08-07_40f1_tpusg_batch,success,96.16,8857,1764,7093,0.073135,0,0,F,tpusg,gpt-5
a229_tpu_sketch_generator,a229227d,gpt-5-2025-08-07_40f1_tpusg_batch,success,141.57,10467,1764,8703,0.087363,0,0,F,tpusg,gpt-5
bb1a_tpu_sketch_generator,bb1a3199,gpt-5-2025-08-07_40f1_tpusg_batch,success,332.47,40813,17686,23127,0.2533775,0,0,F,tpusg,gpt-5
f6da_tpu_sketch_generator,f6dad1b1,gpt-5-2025-08-07_40f1_tpusg_batch,success,145.26,9793,1764,8029,0.080623,0,0,F,tpusg,gpt-5
efd5_tpu_sketch_generator,efd59842,gpt-5-2025-08-07_40f1_tpusg_batch,success,195.54,21705,7445,14260,0.14801825,0,0,F,tpusg,gpt-5
799d_tpu_sketch_generator,799dd414,gpt-5-2025-08-07_40f1_tpusg_batch,success,120.1,9652,1764,7888,0.079213,0,0,F,tpusg,gpt-5
fad6_tpu_sketch_generator,fad6ae42,gpt-5-2025-08-07_40f1_tpusg_batch,success,151.16,11268,1764,9504,0.095373,0,0,F,tpusg,gpt-5
063e_tpu_sketch_generator,063e7098,gpt-5-2025-08-07_40f1_tpusg_batch,success,87.6,8498,1764,6734,0.067673,0,0,F,tpusg,gpt-5
6b4e_tpu_sketch_generator,6b4eb746,gpt-5-2025-08-07_40f1_tpusg_batch,success,89.0,9597,1764,7833,0.078663,0,0,F,tpusg,gpt-5
8d40_tpu_sketch_generator,8d408e42,gpt-5-2025-08-07_40f1_tpusg_batch,success,172.05,9235,1764,7471,0.076915,0,0,F,tpusg,gpt-5
0c65_tpu_sketch_generator,0c65b536,gpt-5-2025-08-07_40f1_tpusg_batch,success,71.66,8341,1764,6577,0.066103,0,0,F,tpusg,gpt-5
f4c6_tpu_sketch_generator,f4c6d156,gpt-5-2025-08-07_40f1_tpusg_batch,success,88.9,9147,1764,7383,0.074163,0,0,F,tpusg,gpt-5
1ccc_tpu_sketch_generator,1ccc2ff1,gpt-5-2025-08-07_40f1_tpusg_batch,success,119.26,10480,1764,8716,0.087493,0,0,F,tpusg,gpt-5
40a7_tpu_sketch_generator,40a7c03e,gpt-5-2025-08-07_40f1_tpusg_batch,failure,334.75,47849,21435,26414,0.2850297499999999,0,0,F,tpusg,gpt-5
4430_tpu_sketch_generator,4430ce56,gpt-5-2025-08-07_40f1_tpusg_batch,failure,439.07,55222,24086,31136,0.3313875,0,0,F,tpusg,gpt-5
69ab_tpu_sketch_generator,69ab24d8,gpt-5-2025-08-07_40f1_tpusg_batch,success,120.25,9790,1764,8026,0.082465,0,0,F,tpusg,gpt-5
6fbc_tpu_sketch_generator,6fbcd836,gpt-5-2025-08-07_40f1_tpusg_batch,success,93.72,9027,1764,7263,0.072963,0,0,F,tpusg,gpt-5
3503_tpu_sketch_generator,350322ae,gpt-5-2025-08-07_40f1_tpusg_batch,success,94.61,9060,1764,7296,0.073293,0,0,F,tpusg,gpt-5
d2b8_tpu_sketch_generator,d2b83727,gpt-5-2025-08-07_40f1_tpusg_batch,success,168.3,8725,1764,6961,0.071815,0,0,F,tpusg,gpt-5
d540_tpu_sketch_generator,d540443c,gpt-5-2025-08-07_40f1_tpusg_batch,success,201.82,11011,1764,9247,0.094675,0,0,F,tpusg,gpt-5
6aca_tpu_sketch_generator,6aca9a6a,gpt-5-2025-08-07_40f1_tpusg_batch,success,162.84,8763,1764,6999,0.072195,0,0,F,tpusg,gpt-5
5718_tpu_sketch_generator,57182ac0,gpt-5-2025-08-07_40f1_tpusg_batch,success,170.7,9417,1764,7653,0.076863,0,0,F,tpusg,gpt-5
a397_tpu_sketch_generator,a3973587,gpt-5-2025-08-07_40f1_tpusg_batch,success,174.36,11206,1764,9442,0.094753,0,0,F,tpusg,gpt-5
7440_tpu_sketch_generator,74405acd,gpt-5-2025-08-07_40f1_tpusg_batch,success,225.28,10337,1764,8573,0.086063,0,0,F,tpusg,gpt-5
bb0a_tpu_sketch_generator,bb0a8235,gpt-5-2025-08-07_40f1_tpusg_batch,success,146.34,9017,1764,7253,0.072863,0,0,F,tpusg,gpt-5
4a9b_tpu_sketch_generator,4a9b8ab8,gpt-5-2025-08-07_40f1_tpusg_batch,success,187.25,8343,1764,6579,0.067995,0,0,F,tpusg,gpt-5
678d_tpu_sketch_generator,678d7180,gpt-5-2025-08-07_40f1_tpusg_batch,success,158.32,8212,1764,6448,0.064813,0,0,F,tpusg,gpt-5
f897_tpu_sketch_generator,f897a6ae,gpt-5-2025-08-07_40f1_tpusg_batch,failure,451.78,48164,21952,26212,0.285672,0,0,F,tpusg,gpt-5
