name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model
64a0_tpusg,64a0bb35,qwen2.5-coder:32b_17ec_tpusg,success,23.71,2632,1833,799,0,0,0,F,tpusg,qwen32
f16e_tpusg,f16e81a2,qwen2.5-coder:32b_17ec_tpusg,success,24.64,2666,1833,833,0,0,0,F,tpusg,qwen32
b036_tpusg,b0366928,qwen2.5-coder:32b_17ec_tpusg,success,25.28,2682,1833,849,0,0,0,F,tpusg,qwen32
8cc2_tpusg,8cc23ee1,qwen2.5-coder:32b_17ec_tpusg,success,51.98,5636,3881,1755,0,0,0,F,tpusg,qwen32
6b1e_tpusg,6b1ee198,qwen2.5-coder:32b_17ec_tpusg,success,57.5,5840,3881,1959,0,0,0,F,tpusg,qwen32
d788_tpusg,d7887820,qwen2.5-coder:32b_17ec_tpusg,success,56.63,5813,3881,1932,0,0,0,F,tpusg,qwen32
74bb_tpusg,74bb08e7,qwen2.5-coder:32b_17ec_tpusg,success,23.47,2623,1833,790,0,0,0,F,tpusg,qwen32
0d3b_tpusg,0d3b03a0,qwen2.5-coder:32b_17ec_tpusg,success,86.28,8873,5929,2944,0,0,0,F,tpusg,qwen32
f67c_tpusg,f67c9001,qwen2.5-coder:32b_17ec_tpusg,success,24.52,2660,1833,827,0,0,0,F,tpusg,qwen32
efe7_tpusg,efe79d78,qwen2.5-coder:32b_17ec_tpusg,success,54.9,5747,3881,1866,0,0,0,F,tpusg,qwen32
e374_tpusg,e374a1d6,qwen2.5-coder:32b_17ec_tpusg,success,25.72,2704,1833,871,0,0,0,F,tpusg,qwen32
a16a_tpusg,a16a15ca,qwen2.5-coder:32b_17ec_tpusg,success,23.98,2636,1833,803,0,0,0,F,tpusg,qwen32
50fe_tpusg,50fe9f43,qwen2.5-coder:32b_17ec_tpusg,success,83.9,8779,5929,2850,0,0,0,F,tpusg,qwen32
3a62_tpusg,3a62ae29,qwen2.5-coder:32b_17ec_tpusg,success,142.17,14870,10025,4845,0,0,0,F,tpusg,qwen32
a42e_tpusg,a42e261b,qwen2.5-coder:32b_17ec_tpusg,success,53.18,5678,3881,1797,0,0,0,F,tpusg,qwen32
ea1c_tpusg,ea1c3741,qwen2.5-coder:32b_17ec_tpusg,success,24.41,2656,1833,823,0,0,0,F,tpusg,qwen32
011b_tpusg,011bc56e,qwen2.5-coder:32b_17ec_tpusg,success,62.46,6010,3881,2129,0,0,0,F,tpusg,qwen32
37bd_tpusg,37bdf340,qwen2.5-coder:32b_17ec_tpusg,success,23.79,2628,1833,795,0,0,0,F,tpusg,qwen32
8705_tpusg,87052819,qwen2.5-coder:32b_17ec_tpusg,success,54.91,5742,3881,1861,0,0,0,F,tpusg,qwen32
26d4_tpusg,26d4af01,qwen2.5-coder:32b_17ec_tpusg,success,23.71,2632,1833,799,0,0,0,F,tpusg,qwen32
e38f_tpusg,e38f170f,qwen2.5-coder:32b_17ec_tpusg,success,90.05,9002,5929,3073,0,0,0,F,tpusg,qwen32
