metric,processor,processor_label,model,model_label,prompt_type,prompt_type_label,status,count,min,q1,median,q3,max,mean,iqr,lower_whisker,upper_whisker,n_outliers
latency,sg,ArdSG,gpt-5,G5,abla-l1,Prompt L1,success,6,228.95,241.4775,279.06,355.5,380.98,296.33,114.02250000000001,228.95,380.98,0
latency,sg,ArdSG,gpt-5,G5,abla-l1,Prompt L1,failure,54,263.47,326.6575,392.85,414.42,493.98,379.4185185185185,87.76249999999999,263.47,493.98,0
latency,sg,ArdSG,gpt-5,G5,abla-l2,Prompt L2,success,42,158.93,188.84,235.16,294.17,478.1,263.85809523809525,105.33000000000001,158.93,451.65,2
latency,sg,ArdSG,gpt-5,G5,abla-l2,Prompt L2,failure,18,379.25,443.74,501.44,555.96,611.41,495.55777777777774,112.22000000000003,379.25,611.41,0
latency,sg,ArdSG,gpt-5,G5,original,Prompt Original,success,60,154.13,202.62,230.365,299.13,370.24,244.7,96.50999999999999,154.13,370.24,0
latency,sg,ArdSG,phi4,Phi4,abla-l1,Prompt L1,failure,60,78.95,88.62,91.485,94.13,110.06,91.462,5.509999999999991,82.34,100.66,6
latency,sg,ArdSG,phi4,Phi4,abla-l2,Prompt L2,failure,22,57.63,67.3025,70.87,74.74,79.65,69.87272727272726,7.4375,57.63,79.65,0
latency,sg,ArdSG,phi4,Phi4,abla-1p,Prompt L1-P,failure,30,51.8,53.739999999999995,54.11,54.595,57.18,54.245,0.855000000000004,52.79,55.41,6
latency,sg,ArdSG,phi4,Phi4,abla-2p,Prompt L2-P,failure,30,56.98,61.2725,62.705,63.762499999999996,67.5,62.24300000000001,2.489999999999995,57.84,66.32,3
latency,sg,ArdSG,qwen32,Qw32B,abla-l1,Prompt L1,failure,60,171.04,183.9,194.38,203.02,226.86,194.861,19.120000000000005,171.04,226.86,0
latency,sg,ArdSG,qwen32,Qw32B,abla-l2,Prompt L2,failure,40,144.76,162.9625,170.18,180.0925,216.06,172.9015,17.129999999999995,144.76,202.56,2
latency,sg,ArdSG,qwen32,Qw32B,abla-1p,Prompt L1-P,failure,30,121.94,122.25,122.36,122.60249999999999,123.11,122.419,0.35249999999999204,121.94,123.11,0
latency,sg,ArdSG,qwen32,Qw32B,abla-2p,Prompt L2-P,failure,30,159.12,167.5525,172.81,181.52249999999998,210.36,176.6903333333334,13.96999999999997,159.12,198.97,3
latency,psg,PyCPU-SG,gpt-5,G5,abla-l1,Prompt L1,success,60,52.85,71.0,83.38999999999999,89.44,123.49,83.022,18.439999999999998,52.85,114.72,2
latency,psg,PyCPU-SG,gpt-5,G5,abla-l2,Prompt L2,success,60,61.94,85.97,114.115,149.48,177.16,117.47833333333334,63.50999999999999,61.94,177.16,0
latency,psg,PyCPU-SG,gpt-5,G5,original,Prompt Original,success,58,79.92,107.01,130.61,173.86,195.76,138.42310344827584,66.85000000000001,79.92,195.76,0
latency,psg,PyCPU-SG,gpt-5,G5,original,Prompt Original,failure,2,511.64,511.64,511.64,511.64,511.64,511.64,0.0,511.64,511.64,0
latency,psg,PyCPU-SG,phi4,Phi4,abla-l1,Prompt L1,success,30,13.95,39.412499999999994,47.62,57.625,76.65,48.376,18.212500000000006,13.95,76.65,0
latency,psg,PyCPU-SG,phi4,Phi4,abla-l1,Prompt L1,failure,30,64.82,71.3325,74.34,76.6625,92.87,75.03866666666669,5.329999999999998,64.82,83.35,2
latency,psg,PyCPU-SG,phi4,Phi4,abla-l2,Prompt L2,success,56,10.01,21.9625,24.33,38.765,61.88,28.853928571428575,16.802500000000002,10.01,61.88,0
latency,psg,PyCPU-SG,phi4,Phi4,abla-l2,Prompt L2,failure,4,58.33,58.33,58.745,59.16,59.16,58.74499999999999,0.8299999999999983,58.33,59.16,0
latency,psg,PyCPU-SG,phi4,Phi4,original,Prompt Original,success,36,13.72,16.18,58.084999999999994,76.12,91.5,51.53666666666666,59.940000000000005,13.72,91.5,0
latency,psg,PyCPU-SG,phi4,Phi4,original,Prompt Original,failure,24,79.14,83.92999999999999,87.35,94.35249999999999,102.67,89.16583333333334,10.4225,79.14,102.67,0
latency,psg,PyCPU-SG,phi4,Phi4,abla-1p,Prompt L1-P,failure,30,50.28,51.5925,51.730000000000004,81.72,106.68,64.03666666666666,30.127499999999998,50.28,106.68,0
latency,psg,PyCPU-SG,phi4,Phi4,abla-2p,Prompt L2-P,success,11,32.33,45.215,52.25,56.040000000000006,90.94,55.9909090909091,10.825000000000003,32.33,56.95,2
latency,psg,PyCPU-SG,phi4,Phi4,abla-2p,Prompt L2-P,failure,19,54.63,55.76,56.67,75.395,89.12,64.70157894736842,19.634999999999998,54.63,89.12,0
latency,psg,PyCPU-SG,qwen32,Qw32B,abla-l1,Prompt L1,success,48,27.99,30.3725,71.375,92.4025,143.89,69.17083333333333,62.03,27.99,143.89,0
latency,psg,PyCPU-SG,qwen32,Qw32B,abla-l1,Prompt L1,failure,12,140.77,141.04,143.05,145.02,145.11,143.00666666666666,3.980000000000018,140.77,145.11,0
latency,psg,PyCPU-SG,qwen32,Qw32B,abla-l2,Prompt L2,success,50,21.44,43.22,46.5,51.09,126.39,51.142399999999995,7.8700000000000045,40.76,57.35,16
latency,psg,PyCPU-SG,qwen32,Qw32B,abla-l2,Prompt L2,failure,10,113.37,116.52,118.87,119.27,120.45,117.696,2.75,113.37,120.45,0
latency,psg,PyCPU-SG,qwen32,Qw32B,original,Prompt Original,success,36,18.41,19.61,22.53,84.48,125.23,53.17333333333334,64.87,18.41,125.23,0
latency,psg,PyCPU-SG,qwen32,Qw32B,original,Prompt Original,failure,24,121.76,123.965,128.56,132.555,143.62,128.96583333333334,8.590000000000003,121.76,143.62,0
latency,psg,PyCPU-SG,qwen32,Qw32B,abla-1p,Prompt L1-P,success,12,21.58,37.795,43.05,43.2575,65.09,41.445,5.462499999999999,43.01,43.76,5
latency,psg,PyCPU-SG,qwen32,Qw32B,abla-1p,Prompt L1-P,failure,18,83.74,83.8825,83.985,84.27,114.18,87.05666666666667,0.38750000000000284,83.74,84.62,2
latency,psg,PyCPU-SG,qwen32,Qw32B,abla-2p,Prompt L2-P,success,30,43.29,43.935,44.144999999999996,44.667500000000004,60.88,44.762666666666675,0.7325000000000017,43.29,45.56,1
latency,tpusg,PyTPU-SG,gpt-5,G5,abla-l1,Prompt L1,success,60,70.79,108.29,124.06,144.21,336.96,136.46,35.92,70.79,187.28,4
latency,tpusg,PyTPU-SG,gpt-5,G5,abla-l2,Prompt L2,success,60,48.82,74.94,89.44,113.5,336.28,108.15166666666666,38.56,48.82,159.63,6
latency,tpusg,PyTPU-SG,gpt-5,G5,original,Prompt Original,success,54,71.66,101.935,147.25,173.0025,332.47,149.44777777777776,71.0675,71.66,225.28,2
latency,tpusg,PyTPU-SG,gpt-5,G5,original,Prompt Original,failure,6,334.75,360.83,439.07,448.60249999999996,451.78,408.5333333333333,87.77249999999998,334.75,451.78,0
latency,tpusg,PyTPU-SG,phi4,Phi4,abla-l1,Prompt L1,success,24,16.85,31.732499999999998,49.28,57.4625,114.42,50.46083333333333,25.73,16.85,76.83,2
latency,tpusg,PyTPU-SG,phi4,Phi4,abla-l1,Prompt L1,failure,36,62.07,72.12,76.6,83.0,90.12,77.08555555555556,10.879999999999995,62.07,90.12,0
latency,tpusg,PyTPU-SG,phi4,Phi4,abla-l2,Prompt L2,success,54,12.52,24.6525,36.81,50.9225,70.49,38.44592592592593,26.27,12.52,70.49,0
latency,tpusg,PyTPU-SG,phi4,Phi4,abla-l2,Prompt L2,failure,6,61.46,61.6,62.02,62.605,62.8,62.09333333333333,1.0049999999999955,61.46,62.8,0
latency,tpusg,PyTPU-SG,phi4,Phi4,original,Prompt Original,success,60,16.08,19.72,21.869999999999997,43.15,97.05,32.17466666666667,23.43,16.08,66.82,2
latency,tpusg,PyTPU-SG,phi4,Phi4,abla-1p,Prompt L1-P,failure,30,52.38,53.3075,53.504999999999995,53.765,54.87,53.52033333333334,0.4575000000000031,52.87,54.34,4
latency,tpusg,PyTPU-SG,phi4,Phi4,abla-2p,Prompt L2-P,success,24,21.41,34.660000000000004,55.665,56.480000000000004,58.12,48.02708333333334,21.82,21.41,58.12,0
latency,tpusg,PyTPU-SG,phi4,Phi4,abla-2p,Prompt L2-P,failure,6,55.88,57.2625,57.4,57.635,58.18,57.29833333333334,0.37249999999999517,57.24,58.18,1
latency,tpusg,PyTPU-SG,qwen32,Qw32B,abla-l1,Prompt L1,success,48,22.89,55.120000000000005,78.63,115.0975,174.68,82.91208333333334,59.97749999999999,22.89,174.68,0
latency,tpusg,PyTPU-SG,qwen32,Qw32B,abla-l1,Prompt L1,failure,12,122.27,125.92,146.625,158.23,163.98,143.9416666666667,32.30999999999999,122.27,163.98,0
latency,tpusg,PyTPU-SG,qwen32,Qw32B,abla-l2,Prompt L2,success,36,25.65,47.92,71.58,75.34,123.82,67.02333333333335,27.42,25.65,107.32,2
latency,tpusg,PyTPU-SG,qwen32,Qw32B,abla-l2,Prompt L2,failure,24,117.53,125.415,128.27,133.21499999999997,142.21,128.93583333333333,7.799999999999969,117.53,142.21,0
latency,tpusg,PyTPU-SG,qwen32,Qw32B,original,Prompt Original,success,60,23.42,23.87,25.5,56.63,142.17,45.913,32.760000000000005,23.42,90.05,4
latency,tpusg,PyTPU-SG,qwen32,Qw32B,abla-1p,Prompt L1-P,failure,30,80.57,80.625,80.74000000000001,80.96,81.52,80.84066666666665,0.33499999999999375,80.57,81.45,1
latency,tpusg,PyTPU-SG,qwen32,Qw32B,abla-2p,Prompt L2-P,success,30,69.71,70.195,71.39500000000001,71.655,73.41,71.23466666666667,1.460000000000008,69.71,73.41,0
total_tokens,sg,ArdSG,gpt-5,G5,abla-l1,Prompt L1,success,6,14036.0,14673.0,16584.0,22207.5,24082.0,18234.0,7534.5,14036.0,24082.0,0
total_tokens,sg,ArdSG,gpt-5,G5,abla-l1,Prompt L1,failure,54,24893.0,27280.0,29058.0,30300.75,34881.0,29111.59259259259,3020.75,24893.0,34702.0,2
total_tokens,sg,ArdSG,gpt-5,G5,abla-l2,Prompt L2,success,42,16140.0,18727.0,20704.0,32232.0,44921.0,25408.904761904763,13505.0,16140.0,44921.0,0
total_tokens,sg,ArdSG,gpt-5,G5,abla-l2,Prompt L2,failure,18,36489.0,39266.0,42514.0,45579.0,48995.0,42689.444444444445,6313.0,36489.0,48995.0,0
total_tokens,sg,ArdSG,gpt-5,G5,original,Prompt Original,success,60,11487.0,19083.0,20309.5,24789.0,33629.0,21389.6,5706.0,11487.0,27772.0,2
total_tokens,sg,ArdSG,phi4,Phi4,abla-l1,Prompt L1,failure,60,5925.0,6344.0,6556.0,6684.0,7293.0,6522.2,340.0,5925.0,7189.0,2
total_tokens,sg,ArdSG,phi4,Phi4,abla-l2,Prompt L2,failure,22,10732.0,12451.0,13525.0,13997.25,15209.0,13105.818181818182,1546.25,10732.0,15209.0,0
total_tokens,sg,ArdSG,phi4,Phi4,abla-1p,Prompt L1-P,failure,30,5639.0,5770.0,5811.5,5847.0,6002.0,5816.533333333334,77.0,5676.0,5962.0,3
total_tokens,sg,ArdSG,phi4,Phi4,abla-2p,Prompt L2-P,failure,30,9984.0,10302.5,10409.0,10481.0,10756.0,10371.9,178.5,10051.0,10675.0,3
total_tokens,sg,ArdSG,qwen32,Qw32B,abla-l1,Prompt L1,failure,60,6341.0,6598.0,6809.0,7035.0,7799.0,6847.166666666667,437.0,6341.0,7433.0,2
total_tokens,sg,ArdSG,qwen32,Qw32B,abla-l2,Prompt L2,failure,40,13621.0,15391.75,15949.5,16583.75,17877.0,15897.15,1192.0,13621.0,17877.0,0
total_tokens,sg,ArdSG,qwen32,Qw32B,abla-1p,Prompt L1-P,failure,30,6550.0,6550.0,6550.0,6559.0,6562.0,6553.2,9.0,6550.0,6562.0,0
total_tokens,sg,ArdSG,qwen32,Qw32B,abla-2p,Prompt L2-P,failure,30,14793.0,15968.75,16127.5,16319.0,17584.0,16201.733333333334,350.25,15659.0,16765.0,5
total_tokens,psg,PyCPU-SG,gpt-5,G5,abla-l1,Prompt L1,success,60,4067.0,4447.0,5044.5,5525.0,6205.0,4990.133333333333,1078.0,4067.0,6205.0,0
