name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model
ae41_py_sketch_generator,ae41f990,gpt-5-2025-08-07_40f1_psg_batch,success,122.03,10817,1500,9317,0.095045,0,0,F,psg,gpt-5
5e45_py_sketch_generator,5e457efb,gpt-5-2025-08-07_40f1_psg_batch,success,104.67,9228,1500,7728,0.077571,0,0,F,psg,gpt-5
f41d_py_sketch_generator,f41d8291,gpt-5-2025-08-07_40f1_psg_batch,success,188.04,21150,7102,14048,0.1477735,0,0,F,psg,gpt-5
2c2a_py_sketch_generator,2c2a2293,gpt-5-2025-08-07_40f1_psg_batch,success,125.89,11288,1500,9788,0.098171,0,0,F,psg,gpt-5
7fd4_py_sketch_generator,7fd470c2,gpt-5-2025-08-07_40f1_psg_batch,success,102.55,8993,1500,7493,0.075221,0,0,F,psg,gpt-5
aed6_py_sketch_generator,aed67aaf,gpt-5-2025-08-07_40f1_psg_batch,success,130.61,10022,1500,8522,0.085511,0,0,F,psg,gpt-5
34f1_py_sketch_generator,34f1cb61,gpt-5-2025-08-07_40f1_psg_batch,success,174.87,11543,1500,10043,0.100721,0,0,F,psg,gpt-5
06de_py_sketch_generator,06decec2,gpt-5-2025-08-07_40f1_psg_batch,success,140.6,11106,1500,9606,0.097935,0,0,F,psg,gpt-5
5e54_py_sketch_generator,5e54134f,gpt-5-2025-08-07_40f1_psg_batch,success,85.93,8297,1500,6797,0.068261,0,0,F,psg,gpt-5
3ddf_py_sketch_generator,3ddffe40,gpt-5-2025-08-07_40f1_psg_batch,success,103.52,8900,1500,7400,0.074291,0,0,F,psg,gpt-5
c928_py_sketch_generator,c9281b37,gpt-5-2025-08-07_40f1_psg_batch,success,121.27,9286,1500,7786,0.078151,0,0,F,psg,gpt-5
130f_py_sketch_generator,130f3a1e,gpt-5-2025-08-07_40f1_psg_batch,success,153.18,12172,1500,10672,0.107011,0,0,F,psg,gpt-5
9fd7_py_sketch_generator,9fd74b85,gpt-5-2025-08-07_40f1_psg_batch,success,101.89,7817,1500,6317,0.063461,0,0,F,psg,gpt-5
02ee_py_sketch_generator,02ee4d22,gpt-5-2025-08-07_40f1_psg_batch,success,107.01,7869,1500,6369,0.063981,0,0,F,psg,gpt-5
769b_py_sketch_generator,769b6961,gpt-5-2025-08-07_40f1_psg_batch,success,194.53,11757,1500,10257,0.102861,0,0,F,psg,gpt-5
d379_py_sketch_generator,d37904d4,gpt-5-2025-08-07_40f1_psg_batch,success,124.94,10836,1500,9336,0.093651,0,0,F,psg,gpt-5
dba3_py_sketch_generator,dba3b065,gpt-5-2025-08-07_40f1_psg_batch,failure,511.64,65422,28850,36572,0.3983265,0,0,F,psg,gpt-5
6dc3_py_sketch_generator,6dc35e5e,gpt-5-2025-08-07_40f1_psg_batch,success,101.28,8867,1500,7367,0.075545,0,0,F,psg,gpt-5
9c1a_py_sketch_generator,9c1a80e4,gpt-5-2025-08-07_40f1_psg_batch,success,79.92,9133,1500,7633,0.076621,0,0,F,psg,gpt-5
32ab_py_sketch_generator,32ab2919,gpt-5-2025-08-07_40f1_psg_batch,success,113.91,11701,1500,10201,0.102301,0,0,F,psg,gpt-5
833b_py_sketch_generator,833bd5cb,gpt-5-2025-08-07_40f1_psg_batch,success,147.63,7746,1500,6246,0.064335,0,0,F,psg,gpt-5
61b6_py_sketch_generator,61b64920,gpt-5-2025-08-07_40f1_psg_batch,success,195.76,10552,1500,9052,0.092395,0,0,F,psg,gpt-5
cb55_py_sketch_generator,cb55e848,gpt-5-2025-08-07_40f1_psg_batch,success,181.5,10713,1500,9213,0.092421,0,0,F,psg,gpt-5
c977_py_sketch_generator,c977579e,gpt-5-2025-08-07_40f1_psg_batch,success,111.83,7429,1500,5929,0.059581,0,0,F,psg,gpt-5
1d7d_py_sketch_generator,1d7ddd9c,gpt-5-2025-08-07_40f1_psg_batch,success,173.86,10190,1500,8690,0.087191,0,0,F,psg,gpt-5
58c9_py_sketch_generator,58c95614,gpt-5-2025-08-07_40f1_psg_batch,success,190.82,10517,1500,9017,0.090461,0,0,F,psg,gpt-5
2cea_py_sketch_generator,2cea11ed,gpt-5-2025-08-07_40f1_psg_batch,success,168.26,12546,1500,11046,0.112335,0,0,F,psg,gpt-5
c74d_py_sketch_generator,c74d1c76,gpt-5-2025-08-07_40f1_psg_batch,success,141.93,8370,1500,6870,0.068991,0,0,F,psg,gpt-5
92f5_py_sketch_generator,92f54528,gpt-5-2025-08-07_40f1_psg_batch,success,181.46,9821,1500,8321,0.085085,0,0,F,psg,gpt-5
9816_py_sketch_generator,9816caaf,gpt-5-2025-08-07_40f1_psg_batch,success,144.58,8950,1500,7450,0.074791,0,0,F,psg,gpt-5
4cfd_tpu_sketch_generator,4cfdc411,gpt-5-2025-08-07_40f1_tpusg_batch,success,173.32,10338,1764,8574,0.087945,0,0,F,tpusg,gpt-5
ac40_tpu_sketch_generator,ac40d148,gpt-5-2025-08-07_40f1_tpusg_batch,success,147.25,8481,1764,6717,0.069375,0,0,F,tpusg,gpt-5
7224_tpu_sketch_generator,72247c08,gpt-5-2025-08-07_40f1_tpusg_batch,success,96.16,8857,1764,7093,0.073135,0,0,F,tpusg,gpt-5
a229_tpu_sketch_generator,a229227d,gpt-5-2025-08-07_40f1_tpusg_batch,success,141.57,10467,1764,8703,0.087363,0,0,F,tpusg,gpt-5
bb1a_tpu_sketch_generator,bb1a3199,gpt-5-2025-08-07_40f1_tpusg_batch,success,332.47,40813,17686,23127,0.2533775,0,0,F,tpusg,gpt-5
f6da_tpu_sketch_generator,f6dad1b1,gpt-5-2025-08-07_40f1_tpusg_batch,success,145.26,9793,1764,8029,0.080623,0,0,F,tpusg,gpt-5
efd5_tpu_sketch_generator,efd59842,gpt-5-2025-08-07_40f1_tpusg_batch,success,195.54,21705,7445,14260,0.14801825,0,0,F,tpusg,gpt-5
799d_tpu_sketch_generator,799dd414,gpt-5-2025-08-07_40f1_tpusg_batch,success,120.1,9652,1764,7888,0.079213,0,0,F,tpusg,gpt-5
fad6_tpu_sketch_generator,fad6ae42,gpt-5-2025-08-07_40f1_tpusg_batch,success,151.16,11268,1764,9504,0.095373,0,0,F,tpusg,gpt-5
063e_tpu_sketch_generator,063e7098,gpt-5-2025-08-07_40f1_tpusg_batch,success,87.6,8498,1764,6734,0.067673,0,0,F,tpusg,gpt-5
6b4e_tpu_sketch_generator,6b4eb746,gpt-5-2025-08-07_40f1_tpusg_batch,success,89.0,9597,1764,7833,0.078663,0,0,F,tpusg,gpt-5
8d40_tpu_sketch_generator,8d408e42,gpt-5-2025-08-07_40f1_tpusg_batch,success,172.05,9235,1764,7471,0.076915,0,0,F,tpusg,gpt-5
