name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model
ade6_py_sketch_generator,ade6233e,phi4_f993_psg_batch,success,53.18,4531,1586,2945,0.0,0,0,F,psg,phi4
a99b_py_sketch_generator,a99b1258,phi4_f993_psg_batch,success,22.59,2728,1044,1684,0.0,0,0,F,psg,phi4
c864_py_sketch_generator,c8641777,phi4_f993_psg_batch,failure,59.16,7632,3237,4395,0.0,0,0,F,psg,phi4
6c6b_py_sketch_generator,6c6b5641,phi4_f993_psg_batch,success,33.01,4255,1803,2452,0.0,0,0,F,psg,phi4
0d53_py_sketch_generator,0d533951,phi4_f993_psg_batch,success,47.23,5745,2227,3518,0.0,0,0,F,psg,phi4
d96a_py_sketch_generator,d96a0ab4,phi4_f993_psg_batch,success,33.65,4052,1552,2500,0.0,0,0,F,psg,phi4
6e71_py_sketch_generator,6e71952b,phi4_f993_psg_batch,success,11.26,1259,417,842,0.0,0,0,F,psg,phi4
0fad_py_sketch_generator,0fadc19b,phi4_f993_psg_batch,success,23.13,2774,1044,1730,0.0,0,0,F,psg,phi4
866a_py_sketch_generator,866a2123,phi4_f993_psg_batch,success,10.24,1181,417,764,0.0,0,0,F,psg,phi4
915e_py_sketch_generator,915e730c,phi4_f993_psg_batch,success,46.27,5743,2298,3445,0.0,0,0,F,psg,phi4
c687_py_sketch_generator,c6871f05,phi4_f993_psg_batch,success,24.35,2850,1044,1806,0.0,0,0,F,psg,phi4
ecb0_py_sketch_generator,ecb04fee,phi4_f993_psg_batch,success,10.01,1160,417,743,0.0,0,0,F,psg,phi4
783f_py_sketch_generator,783f2cd4,phi4_5f04_psg_batch,success,61.88,2420,1044,1376,0.0,0,0,F,psg,phi4
5a3a_py_sketch_generator,5a3aff4b,phi4_5f04_psg_batch,success,44.72,5607,2303,3304,0.0,0,0,F,psg,phi4
3c58_py_sketch_generator,3c583ccf,phi4_5f04_psg_batch,success,23.32,2814,1104,1710,0.0,0,0,F,psg,phi4
8645_py_sketch_generator,864547e1,phi4_5f04_psg_batch,success,50.51,6118,2398,3720,0.0,0,0,F,psg,phi4
80a7_py_sketch_generator,80a7f363,phi4_5f04_psg_batch,success,12.4,1306,417,889,0.0,0,0,F,psg,phi4
a832_py_sketch_generator,a832dc2a,phi4_5f04_psg_batch,success,23.88,2823,1040,1783,0.0,0,0,F,psg,phi4
a4cb_py_sketch_generator,a4cb2617,phi4_5f04_psg_batch,success,34.03,4173,1663,2510,0.0,0,0,F,psg,phi4
9e89_py_sketch_generator,9e89f7c3,phi4_5f04_psg_batch,failure,58.33,7366,3085,4281,0.0,0,0,F,psg,phi4
9506_py_sketch_generator,9506473b,phi4_5f04_psg_batch,success,42.11,4973,1868,3105,0.0,0,0,F,psg,phi4
4b73_py_sketch_generator,4b73710f,phi4_5f04_psg_batch,success,11.32,1242,417,825,0.0,0,0,F,psg,phi4
d0c0_py_sketch_generator,d0c02e7e,phi4_5f04_psg_batch,success,10.15,1181,417,764,0.0,0,0,F,psg,phi4
1565_py_sketch_generator,15654df8,phi4_5f04_psg_batch,success,22.81,2726,1044,1682,0.0,0,0,F,psg,phi4
971e_py_sketch_generator,971e3aee,phi4_5f04_psg_batch,success,20.5,2566,1044,1522,0.0,0,0,F,psg,phi4
d251_py_sketch_generator,d251296a,phi4_5f04_psg_batch,success,22.45,2750,1104,1646,0.0,0,0,F,psg,phi4
5994_py_sketch_generator,5994822d,phi4_5f04_psg_batch,success,26.6,3048,1103,1945,0.0,0,0,F,psg,phi4
3226_py_sketch_generator,3226524a,phi4_5f04_psg_batch,success,24.34,2759,1040,1719,0.0,0,0,F,psg,phi4
c39a_py_sketch_generator,c39aee0f,phi4_5f04_psg_batch,success,37.65,4259,1502,2757,0.0,0,0,F,psg,phi4
f468_py_sketch_generator,f468a8ff,phi4_5f04_psg_batch,success,24.32,2826,1104,1722,0.0,0,0,F,psg,phi4
5ef4_sketch_generator,5ef402b1,phi4_5f04_sg_batch,failure,72.4,13609,8662,4947,0.0,0,0,F,sg,phi4
ab69_sketch_generator,ab695685,phi4_5f04_sg_batch,failure,71.07,12556,7827,4729,0.0,0,0,F,sg,phi4
63b0_sketch_generator,63b02dac,phi4_5f04_sg_batch,failure,75.81,13890,8826,5064,0.0,0,0,F,sg,phi4
d113_sketch_generator,d1133c7e,phi4_5f04_sg_batch,failure,79.65,15209,9762,5447,0.0,0,0,F,sg,phi4
8981_sketch_generator,89813dfd,phi4_5f04_sg_batch,failure,58.86,10977,6852,4125,0.0,0,0,F,sg,phi4
f9f3_sketch_generator,f9f338f9,phi4_5f04_sg_batch,failure,70.87,13525,8657,4868,0.0,0,0,F,sg,phi4
e236_sketch_generator,e2361854,phi4_5f04_sg_batch,failure,75.52,14033,8847,5186,0.0,0,0,F,sg,phi4
6bb1_sketch_generator,6bb18a90,phi4_5f04_sg_batch,failure,57.63,10732,6685,4047,0.0,0,0,F,sg,phi4
7e09_sketch_generator,7e09b983,phi4_5f04_sg_batch,failure,70.07,12717,7864,4853,0.0,0,0,F,sg,phi4
8374_sketch_generator,8374dced,phi4_5f04_sg_batch,failure,70.34,14500,9736,4764,0.0,0,0,F,sg,phi4
6103_sketch_generator,61036989,phi4_5f04_sg_batch,failure,66.38,12416,7809,4607,0.0,0,0,F,sg,phi4
9ef6_tpu_sketch_generator,9ef633a9,phi4_5f04_tpusg_batch,success,23.86,2812,1078,1734,0.0,0,0,F,tpusg,phi4
0262_tpu_sketch_generator,0262222b,phi4_5f04_tpusg_batch,success,38.47,4483,1709,2774,0.0,0,0,F,tpusg,phi4
1e57_tpu_sketch_generator,1e578093,phi4_5f04_tpusg_batch,success,66.99,7816,2983,4833,0.0,0,0,F,tpusg,phi4
e71b_tpu_sketch_generator,e71bfe33,phi4_5f04_tpusg_batch,success,22.93,2659,1017,1642,0.0,0,0,F,tpusg,phi4
c467_tpu_sketch_generator,c4673846,phi4_5f04_tpusg_batch,success,41.79,4754,1767,2987,0.0,0,0,F,tpusg,phi4
