trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,parameters,processor,model,run_name,test_date,category
c4593086,phi4_85a9_psg,success,76.23,11309,7742,3567,F,psg,phi4,c459_pysg,7.3,phi4_psg_NP
59566d9a,phi4_85a9_psg,success,66.74,8866,5694,3172,F,psg,phi4,5956_pysg,7.3,phi4_psg_NP
5c842f26,phi4_85a9_psg,success,13.72,2233,1598,635,F,psg,phi4,5c84_pysg,7.3,phi4_psg_NP
ea053ed4,phi4_85a9_psg,success,16.18,2357,1598,759,F,psg,phi4,ea05_pysg,7.3,phi4_psg_NP
90f0dc15,phi4_85a9_psg,success,14.31,2259,1598,661,F,psg,phi4,90f0_pysg,7.3,phi4_psg_NP
1c24c385,phi4_85a9_psg,success,48.52,7935,5694,2241,F,psg,phi4,1c24_pysg,7.3,phi4_psg_NP
8b6587cd,phi4_85a9_psg,failure,84.02,13673,9790,3883,F,psg,phi4,8b65_pysg,7.3,phi4_psg_NP
12129c51,phi4_85a9_psg,failure,83.66,13672,9790,3882,F,psg,phi4,1212_pysg,7.3,phi4_psg_NP
5074eec8,phi4_85a9_psg,success,76.12,13278,9790,3488,F,psg,phi4,5074_pysg,7.3,phi4_psg_NP
151c23e1,phi4_85a9_psg,failure,85.21,13746,9790,3956,F,psg,phi4,151c_pysg,7.3,phi4_psg_NP
f72b2529,phi4_85a9_psg,success,73.14,11184,7742,3442,F,psg,phi4,f72b_pysg,7.3,phi4_psg_NP
0f23a588,phi4_85a9_psg,success,88.45,13694,9570,4124,F,psg,phi4,0f23_pysg,7.3,phi4_psg_NP
e043c086,phi4_85a9_psg,success,91.5,14073,9790,4283,F,psg,phi4,e043_pysg,7.3,phi4_psg_NP
93c476c4,phi4_85a9_psg,failure,83.33,13661,9790,3871,F,psg,phi4,93c4_pysg,7.3,phi4_psg_NP
f27c4644,phi4_85a9_psg,success,49.43,7993,5694,2299,F,psg,phi4,f27c_pysg,7.3,phi4_psg_NP
a0cf0eef,phi4_85a9_psg,success,68.24,10932,7742,3190,F,psg,phi4,a0cf_pysg,7.3,phi4_psg_NP
