metric,processor,processor_label,model,model_label,status,count,min,q1,median,q3,max,mean,iqr,lower_whisker,upper_whisker,n_outliers
latency,mc,MC,phi4,Phi4,success,26,19.73,23.4025,28.33,69.8925,141.5,48.854615384615386,46.489999999999995,19.73,130.14,1
latency,mc,MC,phi4,Phi4,failure,4,108.65,115.57249999999999,122.935,133.145,148.61,125.7825,17.57250000000002,108.65,148.61,0
latency,mc,MC,qw32,Qw32B,success,30,47.04,51.535,108.375,126.0125,183.29,99.11533333333335,74.4775,47.04,183.29,0
latency,psg,PyCPU-SG,phi4,Phi4,success,27,46.9,53.82,57.36,96.36500000000001,315.89,86.14074074074072,42.54500000000001,46.9,148.49,2
latency,psg,PyCPU-SG,phi4,Phi4,failure,3,313.89,317.275,320.66,323.015,325.37,319.97333333333336,5.740000000000009,313.89,325.37,0
latency,psg,PyCPU-SG,qw32,Qw32B,success,30,107.05,122.175,135.945,230.8725,481.26,178.604,108.6975,107.05,327.63,1
latency,sg,ArdSG,phi4,Phi4,failure,30,305.43,404.07000000000005,425.735,464.03499999999997,506.8,426.69700000000006,59.96499999999992,339.04,506.8,1
latency,sg,ArdSG,qw32,Qw32B,failure,30,788.7,989.4575,1030.73,1057.2275,1298.45,1020.6403333333333,67.76999999999998,918.03,1128.94,4
latency,dp,DP,phi4,Phi4,success,22,157.04,179.98000000000002,199.04,213.65,325.67,208.48909090909092,33.66999999999999,157.04,258.27,3
latency,dp,DP,phi4,Phi4,failure,8,171.67,223.48999999999998,278.845,336.8725,475.4,294.91625,113.38250000000002,171.67,475.4,0
latency,dp,DP,qw32,Qw32B,success,24,355.25,403.4675,431.88,532.94,737.26,471.97958333333327,129.47250000000008,355.25,609.17,1
latency,dp,DP,qw32,Qw32B,failure,6,448.59,557.1375,605.46,673.7925,694.99,598.6833333333334,116.65499999999997,448.59,694.99,0
latency,tpusg,PyTPU-SG,phi4,Phi4,success,29,56.2,64.63,67.36,129.68,155.2,90.20379310344829,65.05000000000001,56.2,155.2,0
latency,tpusg,PyTPU-SG,phi4,Phi4,failure,1,377.55,377.55,377.55,377.55,377.55,377.55,0.0,377.55,377.55,0
latency,tpusg,PyTPU-SG,qw32,Qw32B,success,24,141.06,155.69,230.79000000000002,352.3075,640.43,275.2008333333333,196.6175,141.06,640.43,0
latency,tpusg,PyTPU-SG,qw32,Qw32B,failure,6,744.06,820.275,857.1949999999999,890.065,909.2,846.1066666666667,69.79000000000008,744.06,909.2,0
total_tokens,mc,MC,phi4,Phi4,success,26,694.0,743.25,817.0,4561.25,9345.0,2724.346153846154,3818.0,694.0,9345.0,0
total_tokens,mc,MC,phi4,Phi4,failure,4,8478.0,8670.0,8875.0,9150.75,9555.0,8945.75,480.75,8478.0,9555.0,0
total_tokens,mc,MC,qw32,Qw32B,success,30,724.0,752.75,3854.0,3994.75,6870.0,3018.8,3242.0,724.0,6870.0,0
total_tokens,psg,PyCPU-SG,phi4,Phi4,success,27,2121.0,2241.0,2301.0,3998.5,15646.0,3705.6296296296296,1757.5,2121.0,6200.0,2
total_tokens,psg,PyCPU-SG,phi4,Phi4,failure,3,15965.0,16004.0,16043.0,16199.5,16356.0,16121.333333333334,195.5,15965.0,16356.0,0
total_tokens,psg,PyCPU-SG,qw32,Qw32B,success,30,2148.0,2274.0,2361.0,4717.25,9570.0,3356.6666666666665,2443.25,2148.0,6059.0,1
total_tokens,sg,ArdSG,phi4,Phi4,failure,30,20092.0,22201.75,23434.0,24731.5,25534.0,23388.566666666666,2529.75,20092.0,25534.0,0
total_tokens,sg,ArdSG,qw32,Qw32B,failure,30,23373.0,24084.5,24447.5,25333.25,27078.0,24654.2,1248.75,23373.0,27078.0,0
total_tokens,dp,DP,phi4,Phi4,success,22,12588.0,13042.0,14635.0,15425.25,21156.0,14833.272727272728,2383.25,12588.0,18723.0,2
total_tokens,dp,DP,phi4,Phi4,failure,8,13063.0,14077.0,18125.5,23044.25,31046.0,19519.875,8967.25,13063.0,31046.0,0
total_tokens,dp,DP,qw32,Qw32B,success,24,13360.0,13861.0,14249.0,17367.75,24695.0,15982.25,3506.75,13360.0,21458.0,1
total_tokens,dp,DP,qw32,Qw32B,failure,6,17126.0,19141.0,21025.5,22462.25,23101.0,20622.0,3321.25,17126.0,23101.0,0
total_tokens,tpusg,PyTPU-SG,phi4,Phi4,success,29,2546.0,2633.0,2679.0,6255.0,6763.0,3954.4827586206898,3622.0,2546.0,6763.0,0
total_tokens,tpusg,PyTPU-SG,phi4,Phi4,failure,1,18530.0,18530.0,18530.0,18530.0,18530.0,18530.0,0.0,18530.0,18530.0,0
total_tokens,tpusg,PyTPU-SG,qw32,Qw32B,success,24,2626.0,2718.75,4522.5,6807.5,14101.0,5345.625,4088.75,2626.0,10983.0,1
total_tokens,tpusg,PyTPU-SG,qw32,Qw32B,failure,6,17138.0,18193.0,18434.0,18815.25,19187.0,18374.666666666668,622.25,18126.0,19187.0,1
