trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,parameters,processor,model,run_name,parameters.1,test_date,category
c3f0ca35,codestral_9eb0_psg,failure,83.67,14354,10052,4302,F,psg,codestral,c3f0_pysg,NP,8.14,codestral_psg_NP
2e1b6dc7,codestral_9eb0_psg,success,18.22,2804,1860,944,F,psg,codestral,2e1b_pysg,NP,8.14,codestral_psg_NP
04f13a31,codestral_9eb0_psg,failure,45.19,12203,10052,2151,F,psg,codestral,04f1_pysg,NP,8.14,codestral_psg_NP
ef2f63ba,codestral_9eb0_psg,success,51.4,8602,5956,2646,F,psg,codestral,ef2f_pysg,NP,8.14,codestral_psg_NP
50529bc5,codestral_9eb0_psg,failure,63.69,13238,10052,3186,F,psg,codestral,5052_pysg,NP,8.14,codestral_psg_NP
459ca5b9,codestral_9eb0_psg,failure,53.66,12676,10052,2624,F,psg,codestral,459c_pysg,NP,8.14,codestral_psg_NP
1c24afd9,codestral_9eb0_psg,failure,73.07,13761,10052,3709,F,psg,codestral,1c24_pysg,NP,8.14,codestral_psg_NP
21e6eeda,codestral_9eb0_psg,failure,53.08,12644,10052,2592,F,psg,codestral,21e6_pysg,NP,8.14,codestral_psg_NP
e56d5692,codestral_9eb0_psg,failure,75.53,13896,10052,3844,F,psg,codestral,e56d_pysg,NP,8.14,codestral_psg_NP
e07955a4,codestral_9eb0_psg,failure,83.0,14317,10052,4265,F,psg,codestral,e079_pysg,NP,8.14,codestral_psg_NP
9efc3663,codestral_9eb0_psg,failure,69.65,13572,10052,3520,F,psg,codestral,9efc_pysg,NP,8.14,codestral_psg_NP
ad50fd29,codestral_9eb0_psg,success,37.56,7832,5956,1876,F,psg,codestral,ad50_pysg,NP,8.14,codestral_psg_NP
7a6e6c4c,codestral_9eb0_psg,failure,68.76,13514,10052,3462,F,psg,codestral,7a6e_pysg,NP,8.14,codestral_psg_NP
cb93fee2,codestral_9eb0_psg,success,58.63,10984,8004,2980,F,psg,codestral,cb93_pysg,NP,8.14,codestral_psg_NP
eec4f5fa,codestral_9eb0_psg,failure,69.06,13538,10052,3486,F,psg,codestral,eec4_pysg,NP,8.14,codestral_psg_NP
33ea5ba9,codestral_9eb0_psg,failure,55.38,12771,10052,2719,F,psg,codestral,33ea_pysg,NP,8.14,codestral_psg_NP
75f9cd3b,codestral_9eb0_psg,failure,54.64,12732,10052,2680,F,psg,codestral,75f9_pysg,NP,8.14,codestral_psg_NP
598d0f9e,codestral_9eb0_psg,failure,76.5,13952,10052,3900,F,psg,codestral,598d_pysg,NP,8.14,codestral_psg_NP
bc3371fc,codestral_9eb0_psg,failure,78.29,14053,10052,4001,F,psg,codestral,bc33_pysg,NP,8.14,codestral_psg_NP
6c45a44d,codestral_9eb0_psg,failure,53.01,12643,10052,2591,F,psg,codestral,6c45_pysg,NP,8.14,codestral_psg_NP
8d09642f,codestral_9eb0_psg,success,75.8,11940,8004,3936,F,psg,codestral,8d09_pysg,NP,8.14,codestral_psg_NP
5b1048a5,codestral_9eb0_psg,failure,80.59,14176,10052,4124,F,psg,codestral,5b10_pysg,NP,8.14,codestral_psg_NP
6fc427e4,codestral_9eb0_psg,failure,68.65,13516,10052,3464,F,psg,codestral,6fc4_pysg,NP,8.14,codestral_psg_NP
df00fd9e,codestral_9eb0_psg,failure,61.78,13134,10052,3082,F,psg,codestral,df00_pysg,NP,8.14,codestral_psg_NP
e382acfd,codestral_9eb0_psg,failure,78.12,14044,10052,3992,F,psg,codestral,e382_pysg,NP,8.14,codestral_psg_NP
6bb447bb,codestral_9eb0_psg,failure,67.82,13467,10052,3415,F,psg,codestral,6bb4_pysg,NP,8.14,codestral_psg_NP
00cba1df,codestral_9eb0_psg,failure,80.71,14190,10052,4138,F,psg,codestral,00cb_pysg,NP,8.14,codestral_psg_NP
304c0ebe,codestral_9eb0_psg,failure,66.12,13373,10052,3321,F,psg,codestral,304c_pysg,NP,8.14,codestral_psg_NP
63b89a71,codestral_9eb0_psg,failure,69.67,13562,10052,3510,F,psg,codestral,63b8_pysg,NP,8.14,codestral_psg_NP
4076f460,codestral_9eb0_psg,failure,71.52,13677,10052,3625,F,psg,codestral,4076_pysg,NP,8.14,codestral_psg_NP
8caa211a,codestral_9eb0_tpusg,failure,176.51,15386,10240,5146,F,tpusg,codestral,8caa_tpusg,NP,8.14,codestral_tpusg_NP
