trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,parameters,processor,model,run_name,parameters.1,test_date,category
0cb09b9c,gemma3:27b_04fd_tpusg,failure,183.62,15480,10158,5322,F,tpusg,gemma3,0cb0_tpusg,NP,8.16,gemma3:27b_tpusg_NP
493141d8,gemma3:27b_04fd_tpusg,failure,152.46,15648,10158,5490,F,tpusg,gemma3,4931_tpusg,NP,8.16,gemma3:27b_tpusg_NP
94553bd3,gemma3:27b_04fd_tpusg,failure,154.36,15723,10158,5565,F,tpusg,gemma3,9455_tpusg,NP,8.16,gemma3:27b_tpusg_NP
2b830517,gemma3:27b_04fd_tpusg,failure,146.38,15422,10158,5264,F,tpusg,gemma3,2b83_tpusg,NP,8.16,gemma3:27b_tpusg_NP
d0b56e1d,gemma3:27b_04fd_tpusg,failure,148.85,15514,10158,5356,F,tpusg,gemma3,d0b5_tpusg,NP,8.16,gemma3:27b_tpusg_NP
c956f84e,gemma3:27b_04fd_tpusg,failure,145.48,15379,10158,5221,F,tpusg,gemma3,c956_tpusg,NP,8.16,gemma3:27b_tpusg_NP
e8454610,gemma3:27b_04fd_tpusg,failure,156.94,15824,10158,5666,F,tpusg,gemma3,e845_tpusg,NP,8.16,gemma3:27b_tpusg_NP
fd403fc0,gemma3:27b_04fd_tpusg,failure,148.18,15484,10158,5326,F,tpusg,gemma3,fd40_tpusg,NP,8.16,gemma3:27b_tpusg_NP
90680e9a,gemma3:27b_04fd_tpusg,failure,155.97,15793,10158,5635,F,tpusg,gemma3,9068_tpusg,NP,8.16,gemma3:27b_tpusg_NP
38b6e653,gemma3:27b_04fd_tpusg,failure,116.28,12287,8110,4177,F,tpusg,gemma3,38b6_tpusg,NP,8.16,gemma3:27b_tpusg_NP
62d8652c,gemma3:27b_04fd_tpusg,failure,146.89,15434,10158,5276,F,tpusg,gemma3,62d8_tpusg,NP,8.16,gemma3:27b_tpusg_NP
5f1d4ea8,gemma3:27b_04fd_tpusg,failure,137.84,15090,10158,4932,F,tpusg,gemma3,5f1d_tpusg,NP,8.16,gemma3:27b_tpusg_NP
7be24bc5,gemma3:27b_04fd_tpusg,failure,151.61,15621,10158,5463,F,tpusg,gemma3,7be2_tpusg,NP,8.16,gemma3:27b_tpusg_NP
a7b08e90,gemma3:27b_04fd_tpusg,success,87.37,9202,6062,3140,F,tpusg,gemma3,a7b0_tpusg,NP,8.16,gemma3:27b_tpusg_NP
470d8057,gemma3:27b_04fd_tpusg,success,156.53,15810,10158,5652,F,tpusg,gemma3,470d_tpusg,NP,8.16,gemma3:27b_tpusg_NP
613e3500,gemma3:27b_04fd_tpusg,failure,154.04,15717,10158,5559,F,tpusg,gemma3,613e_tpusg,NP,8.16,gemma3:27b_tpusg_NP
cd923ebe,gemma3:27b_04fd_tpusg,failure,143.7,15314,10158,5156,F,tpusg,gemma3,cd92_tpusg,NP,8.16,gemma3:27b_tpusg_NP
9d4b96e2,gemma3:27b_04fd_tpusg,failure,141.68,15237,10158,5079,F,tpusg,gemma3,9d4b_tpusg,NP,8.16,gemma3:27b_tpusg_NP
46aa2a73,gemma3:27b_04fd_tpusg,failure,154.12,15719,10158,5561,F,tpusg,gemma3,46aa_tpusg,NP,8.16,gemma3:27b_tpusg_NP
80c14300,gemma3:27b_04fd_tpusg,failure,150.14,15562,10158,5404,F,tpusg,gemma3,80c1_tpusg,NP,8.16,gemma3:27b_tpusg_NP
f836fb10,gemma3:27b_04fd_tpusg,failure,162.9,16061,10158,5903,F,tpusg,gemma3,f836_tpusg,NP,8.16,gemma3:27b_tpusg_NP
86ddf27b,gemma3:27b_04fd_tpusg,failure,155.32,15764,10158,5606,F,tpusg,gemma3,86dd_tpusg,NP,8.16,gemma3:27b_tpusg_NP
8735fe55,gemma3:27b_04fd_tpusg,failure,140.36,15187,10158,5029,F,tpusg,gemma3,8735_tpusg,NP,8.16,gemma3:27b_tpusg_NP
4a65e9b4,gemma3:27b_04fd_tpusg,failure,160.78,15981,10158,5823,F,tpusg,gemma3,4a65_tpusg,NP,8.16,gemma3:27b_tpusg_NP
ecf2b140,gemma3:27b_04fd_tpusg,failure,165.5,16162,10158,6004,F,tpusg,gemma3,ecf2_tpusg,NP,8.16,gemma3:27b_tpusg_NP
5a0bac0f,gemma3:27b_04fd_tpusg,failure,151.68,15624,10158,5466,F,tpusg,gemma3,5a0b_tpusg,NP,8.16,gemma3:27b_tpusg_NP
72460b7c,gemma3:27b_04fd_tpusg,failure,152.22,15646,10158,5488,F,tpusg,gemma3,7246_tpusg,NP,8.16,gemma3:27b_tpusg_NP
285d4385,gemma3:27b_04fd_tpusg,failure,152.23,15646,10158,5488,F,tpusg,gemma3,285d_tpusg,NP,8.16,gemma3:27b_tpusg_NP
c671d96f,gemma3:27b_04fd_tpusg,failure,154.66,15738,10158,5580,F,tpusg,gemma3,c671_tpusg,NP,8.16,gemma3:27b_tpusg_NP
bf281dd8,gemma3:27b_04fd_tpusg,failure,134.82,14975,10158,4817,F,tpusg,gemma3,bf28_tpusg,NP,8.16,gemma3:27b_tpusg_NP
8eabe42b,gemma3:27b_3888_psg,failure,98.97,13378,9913,3465,T,psg,gemma3,8eab_pysg,P,8.13,gemma3:27b_psg_P
e38afa2a,gemma3:27b_3888_psg,failure,102.43,13512,9913,3599,T,psg,gemma3,e38a_pysg,P,8.13,gemma3:27b_psg_P
3f6211d5,gemma3:27b_3888_psg,failure,103.39,13545,9913,3632,T,psg,gemma3,3f62_pysg,P,8.13,gemma3:27b_psg_P
a9c11dd3,gemma3:27b_3888_psg,failure,102.34,13507,9913,3594,T,psg,gemma3,a9c1_pysg,P,8.13,gemma3:27b_psg_P
f22bb624,gemma3:27b_3888_psg,failure,100.72,13442,9913,3529,T,psg,gemma3,f22b_pysg,P,8.13,gemma3:27b_psg_P
631a5bb1,gemma3:27b_3888_psg,failure,106.52,13665,9913,3752,T,psg,gemma3,631a_pysg,P,8.13,gemma3:27b_psg_P
9b8b1833,gemma3:27b_3888_psg,success,79.28,10643,7865,2778,T,psg,gemma3,9b8b_pysg,P,8.13,gemma3:27b_psg_P
9980b05a,gemma3:27b_3888_psg,success,75.63,10499,7865,2634,T,psg,gemma3,9980_pysg,P,8.13,gemma3:27b_psg_P
a65e088f,gemma3:27b_3888_psg,success,96.08,13268,9913,3355,T,psg,gemma3,a65e_pysg,P,8.13,gemma3:27b_psg_P
12b9d812,gemma3:27b_3888_psg,failure,99.03,13380,9913,3467,T,psg,gemma3,12b9_pysg,P,8.13,gemma3:27b_psg_P
ccf17d0e,gemma3:27b_3888_psg,success,83.57,10807,7865,2942,T,psg,gemma3,ccf1_pysg,P,8.13,gemma3:27b_psg_P
77eee57e,gemma3:27b_3888_psg,failure,102.84,13523,9913,3610,T,psg,gemma3,77ee_pysg,P,8.13,gemma3:27b_psg_P
15572afc,gemma3:27b_3888_psg,success,83.88,10817,7865,2952,T,psg,gemma3,1557_pysg,P,8.13,gemma3:27b_psg_P
275c50d4,gemma3:27b_3888_psg,success,95.29,13240,9913,3327,T,psg,gemma3,275c_pysg,P,8.13,gemma3:27b_psg_P
0dd22e36,gemma3:27b_3888_psg,success,100.87,13449,9913,3536,T,psg,gemma3,0dd2_pysg,P,8.13,gemma3:27b_psg_P
bb7fa659,gemma3:27b_3888_psg,success,94.92,13223,9913,3310,T,psg,gemma3,bb7f_pysg,P,8.13,gemma3:27b_psg_P
4266afe5,gemma3:27b_3888_psg,success,102.11,13499,9913,3586,T,psg,gemma3,4266_pysg,P,8.13,gemma3:27b_psg_P
0ceb5d46,gemma3:27b_3888_psg,success,77.95,10592,7865,2727,T,psg,gemma3,0ceb_pysg,P,8.13,gemma3:27b_psg_P
032303f5,gemma3:27b_3888_psg,failure,103.28,13535,9913,3622,T,psg,gemma3,0323_pysg,P,8.13,gemma3:27b_psg_P
fb812b1c,gemma3:27b_3888_psg,failure,105.67,13633,9913,3720,T,psg,gemma3,fb81_pysg,P,8.13,gemma3:27b_psg_P
e74dc846,gemma3:27b_3888_psg,success,96.77,13296,9913,3383,T,psg,gemma3,e74d_pysg,P,8.13,gemma3:27b_psg_P
c0a24fb3,gemma3:27b_3888_psg,success,77.43,10572,7865,2707,T,psg,gemma3,c0a2_pysg,P,8.13,gemma3:27b_psg_P
2b200d1a,gemma3:27b_3888_psg,success,98.66,13368,9913,3455,T,psg,gemma3,2b20_pysg,P,8.13,gemma3:27b_psg_P
c0a42954,gemma3:27b_3888_psg,success,97.44,13313,9913,3400,T,psg,gemma3,c0a4_pysg,P,8.13,gemma3:27b_psg_P
fd29cff2,gemma3:27b_3888_psg,success,102.01,13497,9913,3584,T,psg,gemma3,fd29_pysg,P,8.13,gemma3:27b_psg_P
645b4c6a,gemma3:27b_3888_psg,failure,101.96,13489,9913,3576,T,psg,gemma3,645b_pysg,P,8.13,gemma3:27b_psg_P
86b1243a,gemma3:27b_3888_psg,success,99.84,13409,9913,3496,T,psg,gemma3,86b1_pysg,P,8.13,gemma3:27b_psg_P
7ad7d39a,gemma3:27b_3888_psg,failure,108.97,13757,9913,3844,T,psg,gemma3,7ad7_pysg,P,8.13,gemma3:27b_psg_P
d7fafcfa,gemma3:27b_3888_psg,failure,101.56,13476,9913,3563,T,psg,gemma3,d7fa_pysg,P,8.13,gemma3:27b_psg_P
5f2c5dd6,gemma3:27b_3888_psg,success,96.78,13291,9913,3378,T,psg,gemma3,5f2c_pysg,P,8.13,gemma3:27b_psg_P
b59f160c,gemma3:27b_3888_tpusg,failure,176.06,15250,10158,5092,T,tpusg,gemma3,b59f_tpusg,P,8.13,gemma3:27b_tpusg_P
d91d90b9,gemma3:27b_3888_tpusg,failure,142.31,15254,10158,5096,T,tpusg,gemma3,d91d_tpusg,P,8.13,gemma3:27b_tpusg_P
60b3fe9f,gemma3:27b_3888_tpusg,failure,139.99,15160,10158,5002,T,tpusg,gemma3,60b3_tpusg,P,8.13,gemma3:27b_tpusg_P
f2027da6,gemma3:27b_3888_tpusg,failure,144.05,15323,10158,5165,T,tpusg,gemma3,f202_tpusg,P,8.13,gemma3:27b_tpusg_P
6a6b1767,gemma3:27b_3888_tpusg,failure,145.28,15361,10158,5203,T,tpusg,gemma3,6a6b_tpusg,P,8.13,gemma3:27b_tpusg_P
217c4039,gemma3:27b_3888_tpusg,failure,142.34,15257,10158,5099,T,tpusg,gemma3,217c_tpusg,P,8.13,gemma3:27b_tpusg_P
e4a4cf2e,gemma3:27b_3888_tpusg,failure,142.35,15258,10158,5100,T,tpusg,gemma3,e4a4_tpusg,P,8.13,gemma3:27b_tpusg_P
6037f408,gemma3:27b_3888_tpusg,failure,142.76,15276,10158,5118,T,tpusg,gemma3,6037_tpusg,P,8.13,gemma3:27b_tpusg_P
eea879b0,gemma3:27b_3888_tpusg,failure,142.32,15254,10158,5096,T,tpusg,gemma3,eea8_tpusg,P,8.13,gemma3:27b_tpusg_P
32a440fa,gemma3:27b_3888_tpusg,failure,141.13,15204,10158,5046,T,tpusg,gemma3,32a4_tpusg,P,8.13,gemma3:27b_tpusg_P
