trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,parameters,processor,model,run_name,parameters.1,test_date,category
74ed980d,phi4_3b43_psg,success,14.56,2245,1598,647,T,psg,phi4,74ed_pysg,P,8.07,phi4_psg_P
779a6cce,phi4_3b43_psg,success,13.96,2245,1598,647,T,psg,phi4,779a_pysg,P,8.07,phi4_psg_P
09927bf3,phi4_3b43_psg,success,13.97,2242,1598,644,T,psg,phi4,0992_pysg,P,8.07,phi4_psg_P
55e7ec9f,phi4_3b43_psg,success,13.87,2242,1598,644,T,psg,phi4,55e7_pysg,P,8.07,phi4_psg_P
cf590e4c,phi4_3b43_psg,success,14.29,2242,1598,644,T,psg,phi4,cf59_pysg,P,8.07,phi4_psg_P
7ef8453c,phi4_3b43_psg,success,14.03,2242,1598,644,T,psg,phi4,7ef8_pysg,P,8.07,phi4_psg_P
baad8bbc,phi4_3b43_psg,success,14.13,2242,1598,644,T,psg,phi4,baad_pysg,P,8.07,phi4_psg_P
b2ce77f0,phi4_3b43_psg,success,14.03,2245,1598,647,T,psg,phi4,b2ce_pysg,P,8.07,phi4_psg_P
0dc00de2,phi4_3b43_psg,success,14.05,2242,1598,644,T,psg,phi4,0dc0_pysg,P,8.07,phi4_psg_P
2e25c4be,phi4_3b43_psg,success,13.94,2242,1598,644,T,psg,phi4,2e25_pysg,P,8.07,phi4_psg_P
8b5e35d5,phi4_3b43_psg,success,13.82,2242,1598,644,T,psg,phi4,8b5e_pysg,P,8.07,phi4_psg_P
960dd108,phi4_3b43_psg,success,14.04,2242,1598,644,T,psg,phi4,960d_pysg,P,8.07,phi4_psg_P
9dfb1f48,phi4_3b43_psg,success,13.93,2242,1598,644,T,psg,phi4,9dfb_pysg,P,8.07,phi4_psg_P
4720e61f,phi4_3b43_psg,success,13.88,2242,1598,644,T,psg,phi4,4720_pysg,P,8.07,phi4_psg_P
7e752199,phi4_3b43_psg,success,13.96,2245,1598,647,T,psg,phi4,7e75_pysg,P,8.07,phi4_psg_P
24210cf5,phi4_3b43_psg,success,13.98,2245,1598,647,T,psg,phi4,2421_pysg,P,8.07,phi4_psg_P
b4cc45b2,phi4_3b43_psg,success,13.92,2242,1598,644,T,psg,phi4,b4cc_pysg,P,8.07,phi4_psg_P
e79f380c,phi4_3b43_psg,success,13.91,2242,1598,644,T,psg,phi4,e79f_pysg,P,8.07,phi4_psg_P
4a7f1f17,phi4_3b43_psg,success,13.89,2242,1598,644,T,psg,phi4,4a7f_pysg,P,8.07,phi4_psg_P
af4c422d,phi4_3b43_psg,success,13.89,2242,1598,644,T,psg,phi4,af4c_pysg,P,8.07,phi4_psg_P
40fd1617,phi4_3b43_psg,success,16.04,2242,1598,644,T,psg,phi4,40fd_pysg,P,8.07,phi4_psg_P
702ccd2b,phi4_3b43_psg,success,15.21,2242,1598,644,T,psg,phi4,702c_pysg,P,8.07,phi4_psg_P
e963c4fc,phi4_3b43_psg,success,13.91,2242,1598,644,T,psg,phi4,e963_pysg,P,8.07,phi4_psg_P
46bc2eec,phi4_3b43_psg,success,13.97,2242,1598,644,T,psg,phi4,46bc_pysg,P,8.07,phi4_psg_P
a01a8b3c,phi4_3b43_psg,success,13.94,2242,1598,644,T,psg,phi4,a01a_pysg,P,8.07,phi4_psg_P
ebca68a7,phi4_3b43_psg,success,13.85,2242,1598,644,T,psg,phi4,ebca_pysg,P,8.07,phi4_psg_P
44c92ceb,phi4_3b43_psg,success,14.1,2245,1598,647,T,psg,phi4,44c9_pysg,P,8.07,phi4_psg_P
3c235447,phi4_3b43_psg,success,13.86,2242,1598,644,T,psg,phi4,3c23_pysg,P,8.07,phi4_psg_P
555384e9,phi4_3b43_psg,success,14.16,2245,1598,647,T,psg,phi4,5553_pysg,P,8.07,phi4_psg_P
b486b57f,phi4_3b43_psg,success,13.95,2242,1598,644,T,psg,phi4,b486_pysg,P,8.07,phi4_psg_P
d82c8f72,phi4_3b43_tpusg,success,59.68,2787,1806,981,T,tpusg,phi4,d82c_tpusg,P,8.07,phi4_tpusg_P
7ba56093,phi4_3b43_tpusg,success,19.69,2732,1806,926,T,tpusg,phi4,7ba5_tpusg,P,8.07,phi4_tpusg_P
23f093d7,phi4_3b43_tpusg,success,20.23,2750,1806,944,T,tpusg,phi4,23f0_tpusg,P,8.07,phi4_tpusg_P
0f429cab,phi4_3b43_tpusg,success,20.06,2750,1806,944,T,tpusg,phi4,0f42_tpusg,P,8.07,phi4_tpusg_P
ef78447d,phi4_3b43_tpusg,success,19.75,2732,1806,926,T,tpusg,phi4,ef78_tpusg,P,8.07,phi4_tpusg_P
c39e4f3c,phi4_3b43_tpusg,success,19.99,2750,1806,944,T,tpusg,phi4,c39e_tpusg,P,8.07,phi4_tpusg_P
7cea88b2,phi4_3b43_tpusg,success,20.01,2750,1806,944,T,tpusg,phi4,7cea_tpusg,P,8.07,phi4_tpusg_P
c9cd1c2d,phi4_3b43_tpusg,success,20.05,2750,1806,944,T,tpusg,phi4,c9cd_tpusg,P,8.07,phi4_tpusg_P
b14929b5,phi4_3b43_tpusg,success,19.68,2732,1806,926,T,tpusg,phi4,b149_tpusg,P,8.07,phi4_tpusg_P
