trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,parameters,processor,model,run_name,parameters.1,test_date,category
64a0bb35,qwen2.5-coder:32b_17ec_tpusg,success,23.71,2632,1833,799,F,tpusg,qwen32,64a0_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
f16e81a2,qwen2.5-coder:32b_17ec_tpusg,success,24.64,2666,1833,833,F,tpusg,qwen32,f16e_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
b0366928,qwen2.5-coder:32b_17ec_tpusg,success,25.28,2682,1833,849,F,tpusg,qwen32,b036_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
8cc23ee1,qwen2.5-coder:32b_17ec_tpusg,success,51.98,5636,3881,1755,F,tpusg,qwen32,8cc2_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
6b1ee198,qwen2.5-coder:32b_17ec_tpusg,success,57.5,5840,3881,1959,F,tpusg,qwen32,6b1e_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
d7887820,qwen2.5-coder:32b_17ec_tpusg,success,56.63,5813,3881,1932,F,tpusg,qwen32,d788_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
74bb08e7,qwen2.5-coder:32b_17ec_tpusg,success,23.47,2623,1833,790,F,tpusg,qwen32,74bb_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
0d3b03a0,qwen2.5-coder:32b_17ec_tpusg,success,86.28,8873,5929,2944,F,tpusg,qwen32,0d3b_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
f67c9001,qwen2.5-coder:32b_17ec_tpusg,success,24.52,2660,1833,827,F,tpusg,qwen32,f67c_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
efe79d78,qwen2.5-coder:32b_17ec_tpusg,success,54.9,5747,3881,1866,F,tpusg,qwen32,efe7_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
e374a1d6,qwen2.5-coder:32b_17ec_tpusg,success,25.72,2704,1833,871,F,tpusg,qwen32,e374_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
a16a15ca,qwen2.5-coder:32b_17ec_tpusg,success,23.98,2636,1833,803,F,tpusg,qwen32,a16a_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
50fe9f43,qwen2.5-coder:32b_17ec_tpusg,success,83.9,8779,5929,2850,F,tpusg,qwen32,50fe_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
3a62ae29,qwen2.5-coder:32b_17ec_tpusg,success,142.17,14870,10025,4845,F,tpusg,qwen32,3a62_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
a42e261b,qwen2.5-coder:32b_17ec_tpusg,success,53.18,5678,3881,1797,F,tpusg,qwen32,a42e_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
ea1c3741,qwen2.5-coder:32b_17ec_tpusg,success,24.41,2656,1833,823,F,tpusg,qwen32,ea1c_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
011bc56e,qwen2.5-coder:32b_17ec_tpusg,success,62.46,6010,3881,2129,F,tpusg,qwen32,011b_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
37bdf340,qwen2.5-coder:32b_17ec_tpusg,success,23.79,2628,1833,795,F,tpusg,qwen32,37bd_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
87052819,qwen2.5-coder:32b_17ec_tpusg,success,54.91,5742,3881,1861,F,tpusg,qwen32,8705_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
26d4af01,qwen2.5-coder:32b_17ec_tpusg,success,23.71,2632,1833,799,F,tpusg,qwen32,26d4_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
e38f170f,qwen2.5-coder:32b_17ec_tpusg,success,90.05,9002,5929,3073,F,tpusg,qwen32,e38f_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
8fa577ed,qwen2.5-coder:32b_17ec_tpusg,success,56.05,5795,3881,1914,F,tpusg,qwen32,8fa5_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
b5f8272f,qwen2.5-coder:32b_17ec_tpusg,success,26.11,2719,1833,886,F,tpusg,qwen32,b5f8_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
989ed9ee,qwen2.5-coder:32b_17ec_tpusg,success,23.87,2638,1833,805,F,tpusg,qwen32,989e_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
ed976f13,qwen2.5-coder:32b_17ec_tpusg,success,113.91,11851,7977,3874,F,tpusg,qwen32,ed97_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
a152a3ef,qwen2.5-coder:32b_17ec_tpusg,success,24.61,2663,1833,830,F,tpusg,qwen32,a152_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
20000bfa,qwen2.5-coder:32b_17ec_tpusg,success,23.83,2632,1833,799,F,tpusg,qwen32,2000_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
c9f3ea27,qwen2.5-coder:32b_17ec_tpusg,success,23.42,2622,1833,789,F,tpusg,qwen32,c9f3_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
abd1dde4,qwen2.5-coder:32b_17ec_tpusg,success,23.49,2618,1833,785,F,tpusg,qwen32,abd1_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
9a228b50,qwen2.5-coder:32b_17ec_tpusg,success,24.91,2670,1833,837,F,tpusg,qwen32,9a22_tpusg,NP,8.03,qwen2.5-coder:32b_tpusg_NP
e9b77ff6,qwen2.5-coder:32b_1974_psg,success,249.71,15870,9810,6060,T,psg,qwen32,e9b7_pysg,P,7.28,qwen2.5-coder:32b_psg_P
78c72c9b,qwen2.5-coder:32b_1974_psg,success,138.48,11035,7762,3273,T,psg,qwen32,78c7_pysg,P,7.28,qwen2.5-coder:32b_psg_P
49c9d8f0,qwen2.5-coder:32b_1974_psg,success,138.33,10988,7762,3226,T,psg,qwen32,49c9_pysg,P,7.28,qwen2.5-coder:32b_psg_P
b726b1fe,qwen2.5-coder:32b_1974_psg,failure,167.96,13781,9810,3971,T,psg,qwen32,b726_pysg,P,7.28,qwen2.5-coder:32b_psg_P
37e4e01f,qwen2.5-coder:32b_1974_psg,failure,189.44,14302,9810,4492,T,psg,qwen32,37e4_pysg,P,7.28,qwen2.5-coder:32b_psg_P
6c9b8cfc,qwen2.5-coder:32b_1974_psg,success,168.32,13788,9810,3978,T,psg,qwen32,6c9b_pysg,P,7.28,qwen2.5-coder:32b_psg_P
709e22ac,qwen2.5-coder:32b_1974_psg,success,138.32,11052,7762,3290,T,psg,qwen32,709e_pysg,P,7.28,qwen2.5-coder:32b_psg_P
7ad33c9c,qwen2.5-coder:32b_1974_psg,failure,234.44,15502,9810,5692,T,psg,qwen32,7ad3_pysg,P,7.28,qwen2.5-coder:32b_psg_P
883c868e,qwen2.5-coder:32b_1974_psg,success,175.94,13977,9810,4167,T,psg,qwen32,883c_pysg,P,7.28,qwen2.5-coder:32b_psg_P
7f132b41,qwen2.5-coder:32b_1974_psg,failure,263.98,16284,9810,6474,T,psg,qwen32,7f13_pysg,P,7.28,qwen2.5-coder:32b_psg_P
abeeee73,qwen2.5-coder:32b_1974_psg,success,166.92,13752,9810,3942,T,psg,qwen32,abee_pysg,P,7.28,qwen2.5-coder:32b_psg_P
7f9f9e2d,qwen2.5-coder:32b_1974_psg,success,187.49,14258,9810,4448,T,psg,qwen32,7f9f_pysg,P,7.28,qwen2.5-coder:32b_psg_P
c9eae8ed,qwen2.5-coder:32b_1974_psg,failure,181.44,14129,9810,4319,T,psg,qwen32,c9ea_pysg,P,7.28,qwen2.5-coder:32b_psg_P
a7438fb3,qwen2.5-coder:32b_1974_psg,success,207.62,12844,7762,5082,T,psg,qwen32,a743_pysg,P,7.28,qwen2.5-coder:32b_psg_P
a5cd96c8,qwen2.5-coder:32b_1974_psg,failure,183.72,14184,9810,4374,T,psg,qwen32,a5cd_pysg,P,7.28,qwen2.5-coder:32b_psg_P
434bac60,qwen2.5-coder:32b_1974_psg,failure,174.06,13919,9810,4109,T,psg,qwen32,434b_pysg,P,7.28,qwen2.5-coder:32b_psg_P
23bf5079,qwen2.5-coder:32b_1974_psg,failure,167.11,13756,9810,3946,T,psg,qwen32,23bf_pysg,P,7.28,qwen2.5-coder:32b_psg_P
002d6df6,qwen2.5-coder:32b_1974_psg,success,172.47,13884,9810,4074,T,psg,qwen32,002d_pysg,P,7.28,qwen2.5-coder:32b_psg_P
844c47cb,qwen2.5-coder:32b_1974_psg,success,173.33,13879,9810,4069,T,psg,qwen32,844c_pysg,P,7.28,qwen2.5-coder:32b_psg_P
48421762,qwen2.5-coder:32b_1974_psg,failure,184.36,14174,9810,4364,T,psg,qwen32,4842_pysg,P,7.28,qwen2.5-coder:32b_psg_P
32dc2ecf,qwen2.5-coder:32b_1974_psg,failure,166.22,13692,9810,3882,T,psg,qwen32,32dc_pysg,P,7.28,qwen2.5-coder:32b_psg_P
529dcbbc,qwen2.5-coder:32b_1974_psg,failure,191.46,14360,9810,4550,T,psg,qwen32,529d_pysg,P,7.28,qwen2.5-coder:32b_psg_P
0e457210,qwen2.5-coder:32b_1974_psg,failure,241.24,15674,9810,5864,T,psg,qwen32,0e45_pysg,P,7.28,qwen2.5-coder:32b_psg_P
3ee54d1d,qwen2.5-coder:32b_1974_psg,failure,182.46,14127,9810,4317,T,psg,qwen32,3ee5_pysg,P,7.28,qwen2.5-coder:32b_psg_P
fbf5b443,qwen2.5-coder:32b_1974_psg,failure,180.28,13950,9810,4140,T,psg,qwen32,fbf5_pysg,P,7.28,qwen2.5-coder:32b_psg_P
696435d8,qwen2.5-coder:32b_1974_psg,success,135.07,10941,7762,3179,T,psg,qwen32,6964_pysg,P,7.28,qwen2.5-coder:32b_psg_P
d52deb62,qwen2.5-coder:32b_1974_psg,failure,169.78,13776,9810,3966,T,psg,qwen32,d52d_pysg,P,7.28,qwen2.5-coder:32b_psg_P
efd7e873,qwen2.5-coder:32b_1974_psg,success,150.25,11325,7762,3563,T,psg,qwen32,efd7_pysg,P,7.28,qwen2.5-coder:32b_psg_P
7d8c2c05,qwen2.5-coder:32b_1974_psg,failure,181.51,14103,9810,4293,T,psg,qwen32,7d8c_pysg,P,7.28,qwen2.5-coder:32b_psg_P
3c4cd890,qwen2.5-coder:32b_1974_psg,failure,182.6,14102,9810,4292,T,psg,qwen32,3c4c_pysg,P,7.28,qwen2.5-coder:32b_psg_P
6f6d9769,qwen2.5-coder:32b_1974_tpusg,failure,236.52,14877,10025,4852,T,tpusg,qwen32,6f6d_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
c017cb4c,qwen2.5-coder:32b_1974_tpusg,success,120.46,8866,5929,2937,T,tpusg,qwen32,c017_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
c0698d45,qwen2.5-coder:32b_1974_tpusg,failure,234.12,15827,10025,5802,T,tpusg,qwen32,c069_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
bf2bc90f,qwen2.5-coder:32b_1974_tpusg,success,125.09,8947,5929,3018,T,tpusg,qwen32,bf2b_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
987e6621,qwen2.5-coder:32b_1974_tpusg,success,127.12,9005,5929,3076,T,tpusg,qwen32,987e_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
c9bd32c6,qwen2.5-coder:32b_1974_tpusg,failure,236.94,15898,10025,5873,T,tpusg,qwen32,c9bd_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
0410ae45,qwen2.5-coder:32b_1974_tpusg,failure,196.81,14822,10025,4797,T,tpusg,qwen32,0410_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
eb354546,qwen2.5-coder:32b_1974_tpusg,success,157.34,11739,7919,3820,T,tpusg,qwen32,eb35_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
18296e38,qwen2.5-coder:32b_1974_tpusg,success,153.25,11632,7919,3713,T,tpusg,qwen32,1829_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
ca78fb05,qwen2.5-coder:32b_1974_tpusg,failure,200.57,14919,10025,4894,T,tpusg,qwen32,ca78_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
d560756c,qwen2.5-coder:32b_1974_tpusg,failure,232.06,15760,10025,5735,T,tpusg,qwen32,d560_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
c34b4de7,qwen2.5-coder:32b_1974_tpusg,success,115.81,8746,5929,2817,T,tpusg,qwen32,c34b_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
24640f14,qwen2.5-coder:32b_1974_tpusg,success,120.61,8869,5929,2940,T,tpusg,qwen32,2464_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
9ed3c1c8,qwen2.5-coder:32b_1974_tpusg,failure,204.02,15017,10025,4992,T,tpusg,qwen32,9ed3_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
ed940fff,qwen2.5-coder:32b_1974_tpusg,success,156.52,11734,7919,3815,T,tpusg,qwen32,ed94_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
f5ea1dbd,qwen2.5-coder:32b_1974_tpusg,success,157.9,11745,7919,3826,T,tpusg,qwen32,f5ea_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
239c7a0b,qwen2.5-coder:32b_1974_tpusg,failure,200.35,14893,10025,4868,T,tpusg,qwen32,239c_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
fcff55f9,qwen2.5-coder:32b_1974_tpusg,success,209.59,15162,10025,5137,T,tpusg,qwen32,fcff_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
c6f8a481,qwen2.5-coder:32b_1974_tpusg,success,203.89,12961,7919,5042,T,tpusg,qwen32,c6f8_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
508535c3,qwen2.5-coder:32b_1974_tpusg,success,159.36,11761,7928,3833,T,tpusg,qwen32,5085_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
0ba74e4d,qwen2.5-coder:32b_1974_tpusg,success,162.5,11902,7977,3925,T,tpusg,qwen32,0ba7_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
d8268468,qwen2.5-coder:32b_1974_tpusg,failure,199.99,14854,10025,4829,T,tpusg,qwen32,d826_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
1e3c0f22,qwen2.5-coder:32b_1974_tpusg,failure,219.32,15339,10025,5314,T,tpusg,qwen32,1e3c_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
65092f21,qwen2.5-coder:32b_1974_tpusg,success,157.5,11693,7919,3774,T,tpusg,qwen32,6509_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
1a156bdc,qwen2.5-coder:32b_1974_tpusg,failure,207.18,15020,10025,4995,T,tpusg,qwen32,1a15_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
8a4d3f5d,qwen2.5-coder:32b_1974_tpusg,success,160.09,11760,7919,3841,T,tpusg,qwen32,8a4d_tpusg,P,7.28,qwen2.5-coder:32b_tpusg_P
