name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model
5d7f_py_sketch_generator,5d7f9c64,gpt-5-2025-08-07_7aac_psg_batch,success,85.81,5772,310,5462,0.0550075,0,0,F,psg,gpt-5
3542_py_sketch_generator,35425444,gpt-5-2025-08-07_7aac_psg_batch,success,85.3,5095,310,4785,0.0482375,0,0,F,psg,gpt-5
75da_py_sketch_generator,75da2dbc,gpt-5-2025-08-07_7aac_psg_batch,success,69.68,5029,310,4719,0.0475775,0,0,F,psg,gpt-5
cc71_py_sketch_generator,cc7183c1,gpt-5-2025-08-07_7aac_psg_batch,success,85.84,5060,310,4750,0.0478875,0,0,F,psg,gpt-5
8052_py_sketch_generator,80524793,gpt-5-2025-08-07_7aac_psg_batch,success,88.48,5093,310,4783,0.0482175,0,0,F,psg,gpt-5
ce95_py_sketch_generator,ce950fd6,gpt-5-2025-08-07_7aac_psg_batch,success,91.94,5116,310,4806,0.0484475,0,0,F,psg,gpt-5
15f0_py_sketch_generator,15f0cb9b,gpt-5-2025-08-07_7aac_psg_batch,success,69.76,4435,310,4125,0.0416375,0,0,F,psg,gpt-5
56aa_py_sketch_generator,56aa7466,gpt-5-2025-08-07_7aac_psg_batch,success,89.44,4448,310,4138,0.0417675,0,0,F,psg,gpt-5
0700_py_sketch_generator,07001d00,gpt-5-2025-08-07_7aac_psg_batch,success,91.73,5782,310,5472,0.0551075,0,0,F,psg,gpt-5
1597_py_sketch_generator,159754f9,gpt-5-2025-08-07_7aac_psg_batch,success,79.68,5482,310,5172,0.0521075,0,0,F,psg,gpt-5
6429_py_sketch_generator,64299fdb,gpt-5-2025-08-07_7aac_psg_batch,success,65.38,5135,310,4825,0.0486375,0,0,F,psg,gpt-5
f596_py_sketch_generator,f59668ff,gpt-5-2025-08-07_7aac_psg_batch,success,52.85,4067,310,3757,0.0379575,0,0,F,psg,gpt-5
0375_py_sketch_generator,03750405,gpt-5-2025-08-07_7aac_psg_batch,success,73.67,4263,310,3953,0.0399175,0,0,F,psg,gpt-5
6bc0_py_sketch_generator,6bc09a09,gpt-5-2025-08-07_7aac_psg_batch,success,73.84,4542,310,4232,0.0427075,0,0,F,psg,gpt-5
76de_py_sketch_generator,76dea056,gpt-5-2025-08-07_7aac_psg_batch,success,68.5,4680,310,4370,0.0440875,0,0,F,psg,gpt-5
2a11_py_sketch_generator,2a11d942,gpt-5-2025-08-07_7aac_psg_batch,success,79.02,4326,310,4016,0.0405475,0,0,F,psg,gpt-5
7b62_py_sketch_generator,7b62b2d3,gpt-5-2025-08-07_7aac_psg_batch,success,106.5,5029,310,4719,0.0475775,0,0,F,psg,gpt-5
f214_py_sketch_generator,f2146687,gpt-5-2025-08-07_7aac_psg_batch,success,74.64,4190,310,3880,0.0391875,0,0,F,psg,gpt-5
6aaf_py_sketch_generator,6aaf562f,gpt-5-2025-08-07_7aac_psg_batch,success,106.61,5581,310,5271,0.0530975,0,0,F,psg,gpt-5
af14_py_sketch_generator,af1475e8,gpt-5-2025-08-07_7aac_psg_batch,success,89.38,5183,310,4873,0.0491175,0,0,F,psg,gpt-5
e84e_py_sketch_generator,e84e76ba,gpt-5-2025-08-07_7aac_psg_batch,success,84.07,5525,310,5215,0.0525375,0,0,F,psg,gpt-5
db8c_py_sketch_generator,db8c03b0,gpt-5-2025-08-07_7aac_psg_batch,success,114.72,6015,310,5705,0.0574375,0,0,F,psg,gpt-5
e04d_py_sketch_generator,e04deb0d,gpt-5-2025-08-07_7aac_psg_batch,success,123.49,6205,310,5895,0.0593375,0,0,F,psg,gpt-5
e62a_py_sketch_generator,e62ad1ca,gpt-5-2025-08-07_7aac_psg_batch,success,74.46,4447,310,4137,0.0417575,0,0,F,psg,gpt-5
f4bf_py_sketch_generator,f4bf7fd2,gpt-5-2025-08-07_7aac_psg_batch,success,64.06,4665,310,4355,0.0439375,0,0,F,psg,gpt-5
7c22_py_sketch_generator,7c22e7e2,gpt-5-2025-08-07_7aac_psg_batch,success,71.0,5551,310,5241,0.0527975,0,0,F,psg,gpt-5
a465_py_sketch_generator,a46553e7,gpt-5-2025-08-07_7aac_psg_batch,success,87.1,5621,310,5311,0.0534975,0,0,F,psg,gpt-5
925f_py_sketch_generator,925f8c5d,gpt-5-2025-08-07_7aac_psg_batch,success,63.66,4372,310,4062,0.0410075,0,0,F,psg,gpt-5
08c6_py_sketch_generator,08c6d92b,gpt-5-2025-08-07_7aac_psg_batch,success,97.34,4703,310,4393,0.0443175,0,0,F,psg,gpt-5
68e5_py_sketch_generator,68e53046,gpt-5-2025-08-07_7aac_psg_batch,success,82.71,4292,310,3982,0.0402075,0,0,F,psg,gpt-5
