name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model
8846_py_sketch_generator,8846c177,gpt-5-2025-08-07_6b01_psg_batch,success,66.23,5986,413,5573,0.05624625,0,0,F,psg,gpt-5
8724_py_sketch_generator,8724bffb,gpt-5-2025-08-07_6b01_psg_batch,success,71.28,6921,413,6508,0.06559625,0,0,F,psg,gpt-5
e199_py_sketch_generator,e1993021,gpt-5-2025-08-07_6b01_psg_batch,success,125.29,9584,413,9171,0.09222625,0,0,F,psg,gpt-5
5980_py_sketch_generator,59800a99,gpt-5-2025-08-07_6b01_psg_batch,success,61.94,5960,413,5547,0.05598625,0,0,F,psg,gpt-5
da48_py_sketch_generator,da485475,gpt-5-2025-08-07_6b01_psg_batch,success,70.81,6667,413,6254,0.06305625,0,0,F,psg,gpt-5
7baf_py_sketch_generator,7baf60cc,gpt-5-2025-08-07_6b01_psg_batch,success,68.85,6131,413,5718,0.05769625,0,0,F,psg,gpt-5
7367_py_sketch_generator,7367e42e,gpt-5-2025-08-07_6b01_psg_batch,success,108.12,9196,413,8783,0.08834625,0,0,F,psg,gpt-5
777c_py_sketch_generator,777c558f,gpt-5-2025-08-07_6b01_psg_batch,success,172.96,13630,1149,12481,0.12624625,0,0,F,psg,gpt-5
daf1_py_sketch_generator,daf123bc,gpt-5-2025-08-07_6b01_psg_batch,success,76.62,5957,413,5544,0.05595625,0,0,F,psg,gpt-5
cc2a_py_sketch_generator,cc2a5772,gpt-5-2025-08-07_6b01_psg_batch,success,148.71,9435,413,9022,0.09073625,0,0,F,psg,gpt-5
f1cb_py_sketch_generator,f1cbe71d,gpt-5-2025-08-07_6b01_psg_batch,success,149.48,9251,413,8838,0.08889625,0,0,F,psg,gpt-5
1525_py_sketch_generator,152594fd,gpt-5-2025-08-07_6b01_psg_batch,success,176.37,11876,413,11463,0.11514625,0,0,F,psg,gpt-5
d307_py_sketch_generator,d307dfb2,gpt-5-2025-08-07_6b01_psg_batch,success,105.91,7145,413,6732,0.06783625,0,0,F,psg,gpt-5
4914_py_sketch_generator,4914c1cf,gpt-5-2025-08-07_6b01_psg_batch,success,122.42,8234,413,7821,0.07872625,0,0,F,psg,gpt-5
10fb_py_sketch_generator,10fbfc37,gpt-5-2025-08-07_6b01_psg_batch,success,171.47,11462,413,11049,0.11100625,0,0,F,psg,gpt-5
276b_py_sketch_generator,276bf066,gpt-5-2025-08-07_6b01_psg_batch,success,85.97,5571,413,5158,0.05209625,0,0,F,psg,gpt-5
c2ee_py_sketch_generator,c2ee7377,gpt-5-2025-08-07_6b01_psg_batch,success,121.11,8762,413,8349,0.08400625,0,0,F,psg,gpt-5
df4c_py_sketch_generator,df4ccfd2,gpt-5-2025-08-07_6b01_psg_batch,success,118.21,9557,413,9144,0.09195625,0,0,F,psg,gpt-5
957c_py_sketch_generator,957c946c,gpt-5-2025-08-07_6b01_psg_batch,success,109.05,8743,413,8330,0.08381625,0,0,F,psg,gpt-5
d65b_py_sketch_generator,d65baf43,gpt-5-2025-08-07_6b01_psg_batch,success,84.52,6878,413,6465,0.06516625,0,0,F,psg,gpt-5
b384_py_sketch_generator,b384edc6,gpt-5-2025-08-07_6b01_psg_batch,success,98.7,8233,413,7820,0.07871625,0,0,F,psg,gpt-5
f6b7_py_sketch_generator,f6b72cea,gpt-5-2025-08-07_6b01_psg_batch,success,121.45,8460,413,8047,0.08098625,0,0,F,psg,gpt-5
6e18_py_sketch_generator,6e180fda,gpt-5-2025-08-07_6b01_psg_batch,success,177.16,14587,1166,13421,0.1356675,0,0,F,psg,gpt-5
d84f_py_sketch_generator,d84fb799,gpt-5-2025-08-07_6b01_psg_batch,success,161.21,8797,413,8384,0.08435625,0,0,F,psg,gpt-5
2cc0_py_sketch_generator,2cc0487e,gpt-5-2025-08-07_6b01_psg_batch,success,143.79,8538,413,8125,0.08176625,0,0,F,psg,gpt-5
dab2_py_sketch_generator,dab23a0e,gpt-5-2025-08-07_6b01_psg_batch,success,86.96,6432,413,6019,0.06070625,0,0,F,psg,gpt-5
39e5_py_sketch_generator,39e5d8de,gpt-5-2025-08-07_6b01_psg_batch,success,160.54,7581,413,7168,0.07219625,0,0,F,psg,gpt-5
c192_py_sketch_generator,c1924f44,gpt-5-2025-08-07_6b01_psg_batch,success,95.67,7446,413,7033,0.07084625,0,0,F,psg,gpt-5
8849_py_sketch_generator,8849b22b,gpt-5-2025-08-07_6b01_psg_batch,success,110.02,7406,413,6993,0.07044625,0,0,F,psg,gpt-5
d3a7_py_sketch_generator,d3a741c1,gpt-5-2025-08-07_6b01_psg_batch,success,153.53,9304,413,8891,0.08942625,0,0,F,psg,gpt-5
