name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model
ab48_sketch_generator,ab48aa4f,gpt-5-2025-08-07_6b01_sg_batch,success,242.93,24103,6140,17963,0.187305,0,0,F,sg,gpt-5
6f46_sketch_generator,6f46c57d,gpt-5-2025-08-07_6b01_sg_batch,failure,491.59,48995,16701,32294,0.34381625,0,0,F,sg,gpt-5
6cb7_sketch_generator,6cb7d619,gpt-5-2025-08-07_6b01_sg_batch,failure,401.18,39266,10180,29086,0.303585,0,0,F,sg,gpt-5
3476_sketch_generator,34767a0a,gpt-5-2025-08-07_6b01_sg_batch,failure,501.44,44076,13280,30796,0.32456,0,0,F,sg,gpt-5
7816_sketch_generator,781677be,gpt-5-2025-08-07_6b01_sg_batch,success,359.98,33061,9752,23309,0.24528,0,0,F,sg,gpt-5
4fc4_sketch_generator,4fc4db54,gpt-5-2025-08-07_6b01_sg_batch,success,478.1,44913,11924,32989,0.3447949999999999,0,0,F,sg,gpt-5
55ae_sketch_generator,55ae0a9f,gpt-5-2025-08-07_6b01_sg_batch,failure,379.25,36489,9127,27362,0.2850287499999999,0,0,F,sg,gpt-5
965d_sketch_generator,965d71e2,gpt-5-2025-08-07_6b01_sg_batch,success,265.31,32232,9091,23141,0.2427737499999999,0,0,F,sg,gpt-5
8fa4_sketch_generator,8fa46ebd,gpt-5-2025-08-07_6b01_sg_batch,success,164.44,17949,4903,13046,0.13658875,0,0,F,sg,gpt-5
44a5_sketch_generator,44a56389,gpt-5-2025-08-07_6b01_sg_batch,success,177.72,19763,5116,14647,0.152865,0,0,F,sg,gpt-5
84f8_sketch_generator,84f8ec32,gpt-5-2025-08-07_6b01_sg_batch,success,184.68,21271,6287,14984,0.15769875,0,0,F,sg,gpt-5
02cd_sketch_generator,02cd0534,gpt-5-2025-08-07_6b01_sg_batch,success,189.85,18727,5515,13212,0.13901375,0,0,F,sg,gpt-5
c19e_sketch_generator,c19e3372,gpt-5-2025-08-07_6b01_sg_batch,success,158.93,17102,5577,11525,0.12222125,0,0,F,sg,gpt-5
7cec_sketch_generator,7cecd391,gpt-5-2025-08-07_6b01_sg_batch,success,393.4,35186,9737,25449,0.26666125,0,0,F,sg,gpt-5
cc2a_sketch_generator,cc2ad6db,gpt-5-2025-08-07_6b01_sg_batch,success,188.84,18357,4768,13589,0.14185,0,0,F,sg,gpt-5
8e15_sketch_generator,8e15fa49,gpt-5-2025-08-07_6b01_sg_batch,success,426.93,43139,13123,30016,0.31656375,0,0,F,sg,gpt-5
a6d6_sketch_generator,a6d6b188,gpt-5-2025-08-07_6b01_sg_batch,success,271.42,25450,7284,18166,0.190765,0,0,F,sg,gpt-5
6159_sketch_generator,6159c1a4,gpt-5-2025-08-07_6b01_sg_batch,success,219.01,20557,5406,15151,0.1582675,0,0,F,sg,gpt-5
29dd_sketch_generator,29ddee84,gpt-5-2025-08-07_6b01_sg_batch,success,451.65,44921,14411,30510,0.32311375,0,0,F,sg,gpt-5
7d3a_sketch_generator,7d3a1772,gpt-5-2025-08-07_6b01_sg_batch,success,207.5,18374,4452,13922,0.144785,0,0,F,sg,gpt-5
f989_sketch_generator,f9891987,gpt-5-2025-08-07_6b01_sg_batch,success,167.34,16140,4475,11665,0.12224375,0,0,F,sg,gpt-5
d4e8_sketch_generator,d4e8d0e9,gpt-5-2025-08-07_6b01_sg_batch,success,294.17,20704,5234,15470,0.1612425,0,0,F,sg,gpt-5
1737_sketch_generator,1737436c,gpt-5-2025-08-07_6b01_sg_batch,failure,443.74,38228,10119,28109,0.29373875,0,0,F,sg,gpt-5
14df_sketch_generator,14df7d1a,gpt-5-2025-08-07_6b01_sg_batch,failure,566.72,40360,10131,30229,0.31308175,0,0,F,sg,gpt-5
0aa8_sketch_generator,0aa8643a,gpt-5-2025-08-07_6b01_sg_batch,failure,555.96,42514,11145,31369,0.32762125,0,0,F,sg,gpt-5
3761_sketch_generator,37611813,gpt-5-2025-08-07_6b01_sg_batch,success,247.32,20445,5280,15165,0.15825,0,0,F,sg,gpt-5
751d_sketch_generator,751d37b5,gpt-5-2025-08-07_6b01_sg_batch,success,216.34,19213,5006,14207,0.1483275,0,0,F,sg,gpt-5
25aa_sketch_generator,25aae709,gpt-5-2025-08-07_6b01_sg_batch,failure,508.73,45579,12243,33336,0.34866375,0,0,F,sg,gpt-5
2762_sketch_generator,27620f1a,gpt-5-2025-08-07_6b01_sg_batch,success,235.16,21980,5725,16255,0.16970625,0,0,F,sg,gpt-5
6699_sketch_generator,6699f706,gpt-5-2025-08-07_6b01_sg_batch,failure,611.41,48698,12513,36185,0.37749125,0,0,F,sg,gpt-5
