name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model
36c2_sketch_generator,36c26d1b,phi4_ab1p_sg_batch,failure,96.36,6606,2140,4466,0.0,0,0,F,sg,phi4
9ad3_sketch_generator,9ad37ed7,phi4_ab1p_sg_batch,failure,110.06,7293,2045,5248,0.0,0,0,F,sg,phi4
6e43_sketch_generator,6e43fd91,phi4_ab1p_sg_batch,failure,100.66,6566,1745,4821,0.0,0,0,F,sg,phi4
2561_sketch_generator,2561a8d9,phi4_ab1p_sg_batch,failure,99.43,6753,1955,4798,0.0,0,0,F,sg,phi4
89d3_sketch_generator,89d376e5,phi4_ab1p_sg_batch,failure,88.63,6404,1760,4644,0.0,0,0,F,sg,phi4
fb49_sketch_generator,fb4974dc,phi4_ab1p_sg_batch,failure,93.25,6684,1780,4904,0.0,0,0,F,sg,phi4
a499_sketch_generator,a4998881,phi4_ab1p_sg_batch,failure,89.75,6393,1650,4743,0.0,0,0,F,sg,phi4
4033_sketch_generator,4033395c,phi4_ab1p_sg_batch,failure,89.03,6535,1840,4695,0.0,0,0,F,sg,phi4
68b8_sketch_generator,68b8f1a3,phi4_ab1p_sg_batch,failure,83.15,6344,2000,4344,0.0,0,0,F,sg,phi4
3e76_sketch_generator,3e76828b,phi4_ab1p_sg_batch,failure,94.03,6824,1860,4964,0.0,0,0,F,sg,phi4
daab_sketch_generator,daab922b,phi4_ab1p_sg_batch,failure,82.34,6263,1930,4333,0.0,0,0,F,sg,phi4
bbbc_sketch_generator,bbbc166b,phi4_ab1p_sg_batch,failure,97.45,6904,1765,5139,0.0,0,0,F,sg,phi4
3816_sketch_generator,3816969a,phi4_ab1p_sg_batch,failure,94.13,7167,2225,4942,0.0,0,0,F,sg,phi4
ad89_sketch_generator,ad898405,phi4_ab1p_sg_batch,failure,89.33,6767,2080,4687,0.0,0,0,F,sg,phi4
d99a_sketch_generator,d99ad05c,phi4_ab1p_sg_batch,failure,93.89,6642,1835,4807,0.0,0,0,F,sg,phi4
8ced_sketch_generator,8ceda40f,phi4_ab1p_sg_batch,failure,92.21,6398,2015,4383,0.0,0,0,F,sg,phi4
1636_sketch_generator,16362157,phi4_ab1p_sg_batch,failure,99.2,6612,1865,4747,0.0,0,0,F,sg,phi4
a6ed_sketch_generator,a6ed650b,phi4_ab1p_sg_batch,failure,90.2,6008,1740,4268,0.0,0,0,F,sg,phi4
d27a_sketch_generator,d27a367f,phi4_ab1p_sg_batch,failure,87.17,5925,1780,4145,0.0,0,0,F,sg,phi4
0105_sketch_generator,01050e1d,phi4_ab1p_sg_batch,failure,80.28,5941,1765,4176,0.0,0,0,F,sg,phi4
9437_sketch_generator,9437f34c,phi4_ab1p_sg_batch,failure,88.62,6320,1670,4650,0.0,0,0,F,sg,phi4
3bef_sketch_generator,3bef6927,phi4_ab1p_sg_batch,failure,92.95,7189,2320,4869,0.0,0,0,F,sg,phi4
7f6d_sketch_generator,7f6dedf2,phi4_ab1p_sg_batch,failure,78.95,5932,1775,4157,0.0,0,0,F,sg,phi4
282e_sketch_generator,282e0ef3,phi4_ab1p_sg_batch,failure,92.9,6618,1750,4868,0.0,0,0,F,sg,phi4
2de1_sketch_generator,2de16b2e,phi4_ab1p_sg_batch,failure,96.39,6599,1650,4949,0.0,0,0,F,sg,phi4
a488_sketch_generator,a4887514,phi4_ab1p_sg_batch,failure,86.35,6546,2165,4381,0.0,0,0,F,sg,phi4
ba17_sketch_generator,ba1781fa,phi4_ab1p_sg_batch,failure,85.11,5974,1610,4364,0.0,0,0,F,sg,phi4
849b_sketch_generator,849bac74,phi4_ab1p_sg_batch,failure,91.96,6386,1685,4701,0.0,0,0,F,sg,phi4
f3cd_sketch_generator,f3cd0759,phi4_ab1p_sg_batch,failure,91.01,6484,1720,4764,0.0,0,0,F,sg,phi4
f174_sketch_generator,f1748c6f,phi4_ab1p_sg_batch,failure,89.07,6589,1940,4649,0.0,0,0,F,sg,phi4
