name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model
7c6d_tpu_sketch_generator,7c6dfa6e,qwen2.5-coder:32b_ab1q_tpusg_batch,success,174.68,4340,720,3620,0.0,0,0,F,tpusg,qwen32
c838_tpu_sketch_generator,c838b56b,qwen2.5-coder:32b_ab1q_tpusg_batch,failure,125.92,4310,900,3410,0.0,0,0,F,tpusg,qwen32
1a69_tpu_sketch_generator,1a697c0c,qwen2.5-coder:32b_ab1q_tpusg_batch,success,26.71,897,180,717,0.0,0,0,F,tpusg,qwen32
a967_tpu_sketch_generator,a967c3c5,qwen2.5-coder:32b_ab1q_tpusg_batch,success,75.59,2225,360,1865,0.0,0,0,F,tpusg,qwen32
145c_tpu_sketch_generator,145c162d,qwen2.5-coder:32b_ab1q_tpusg_batch,success,93.1,2828,540,2288,0.0,0,0,F,tpusg,qwen32
b380_tpu_sketch_generator,b380bc76,qwen2.5-coder:32b_ab1q_tpusg_batch,failure,150.06,4590,900,3690,0.0,0,0,F,tpusg,qwen32
90f5_tpu_sketch_generator,90f55eed,qwen2.5-coder:32b_ab1q_tpusg_batch,success,57.71,1789,360,1429,0.0,0,0,F,tpusg,qwen32
e2d3_tpu_sketch_generator,e2d38972,qwen2.5-coder:32b_ab1q_tpusg_batch,success,119.85,3506,540,2966,0.0,0,0,F,tpusg,qwen32
b265_tpu_sketch_generator,b265fb91,qwen2.5-coder:32b_ab1q_tpusg_batch,success,22.89,797,180,617,0.0,0,0,F,tpusg,qwen32
3e7f_tpu_sketch_generator,3e7fc381,qwen2.5-coder:32b_ab1q_tpusg_batch,success,123.32,4237,900,3337,0.0,0,0,F,tpusg,qwen32
9893_tpu_sketch_generator,98936b75,qwen2.5-coder:32b_ab1q_tpusg_batch,failure,158.23,5109,900,4209,0.0,0,0,F,tpusg,qwen32
d029_tpu_sketch_generator,d0293294,qwen2.5-coder:32b_ab1q_tpusg_batch,failure,122.27,4213,900,3313,0.0,0,0,F,tpusg,qwen32
1448_tpu_sketch_generator,14485eae,qwen2.5-coder:32b_ab1q_tpusg_batch,success,117.19,3849,720,3129,0.0,0,0,F,tpusg,qwen32
4620_tpu_sketch_generator,46209b4b,qwen2.5-coder:32b_ab1q_tpusg_batch,success,54.88,1841,360,1481,0.0,0,0,F,tpusg,qwen32
e89b_tpu_sketch_generator,e89b4023,qwen2.5-coder:32b_ab1q_tpusg_batch,success,139.19,4654,900,3754,0.0,0,0,F,tpusg,qwen32
3f6f_tpu_sketch_generator,3f6fba32,qwen2.5-coder:32b_ab1q_tpusg_batch,success,99.44,3202,540,2662,0.0,0,0,F,tpusg,qwen32
3f76_tpu_sketch_generator,3f76c142,qwen2.5-coder:32b_ab1q_tpusg_batch,success,25.23,859,180,679,0.0,0,0,F,tpusg,qwen32
6e6e_tpu_sketch_generator,6e6e37a9,qwen2.5-coder:32b_ab1q_tpusg_batch,success,104.94,3540,720,2820,0.0,0,0,F,tpusg,qwen32
d450_tpu_sketch_generator,d450a5b5,qwen2.5-coder:32b_ab1q_tpusg_batch,success,63.21,1926,360,1566,0.0,0,0,F,tpusg,qwen32
6f16_tpu_sketch_generator,6f168498,qwen2.5-coder:32b_ab1q_tpusg_batch,success,86.45,2674,540,2134,0.0,0,0,F,tpusg,qwen32
32b7_tpu_sketch_generator,32b7f03f,qwen2.5-coder:32b_ab1q_tpusg_batch,failure,143.19,4446,900,3546,0.0,0,0,F,tpusg,qwen32
ec96_tpu_sketch_generator,ec966d23,qwen2.5-coder:32b_ab1q_tpusg_batch,success,55.2,1729,360,1369,0.0,0,0,F,tpusg,qwen32
28fc_tpu_sketch_generator,28fcb332,qwen2.5-coder:32b_ab1q_tpusg_batch,success,155.0,4737,900,3837,0.0,0,0,F,tpusg,qwen32
1f4f_tpu_sketch_generator,1f4f9105,qwen2.5-coder:32b_ab1q_tpusg_batch,success,30.84,930,180,750,0.0,0,0,F,tpusg,qwen32
512e_tpu_sketch_generator,512e0dc1,qwen2.5-coder:32b_ab1q_tpusg_batch,success,71.89,2276,360,1916,0.0,0,0,F,tpusg,qwen32
3290_tpu_sketch_generator,329001bd,qwen2.5-coder:32b_ab1q_tpusg_batch,success,81.67,2738,540,2198,0.0,0,0,F,tpusg,qwen32
0207_tpu_sketch_generator,0207b3b1,qwen2.5-coder:32b_ab1q_tpusg_batch,success,26.31,888,180,708,0.0,0,0,F,tpusg,qwen32
b14f_tpu_sketch_generator,b14fd022,qwen2.5-coder:32b_ab1q_tpusg_batch,success,70.2,2435,540,1895,0.0,0,0,F,tpusg,qwen32
d26c_tpu_sketch_generator,d26c0def,qwen2.5-coder:32b_ab1q_tpusg_batch,failure,163.98,5281,900,4381,0.0,0,0,F,tpusg,qwen32
6bb7_tpu_sketch_generator,6bb7d69b,qwen2.5-coder:32b_ab1q_tpusg_batch,success,114.4,3778,720,3058,0.0,0,0,F,tpusg,qwen32
