name,trace_id,batch_id,status,latency,total_tokens,prompt_tokens,completion_tokens,total_cost,prompt_cost,completion_cost,parameters,processor,model
09e3_py_sketch_generator,09e36f6a,qwen2.5-coder:32b_b5b4_psg_batch,success,126.39,5832,2417,3415,0.0,0,0,F,psg,qwen32
73e4_py_sketch_generator,73e4d909,qwen2.5-coder:32b_b5b4_psg_batch,success,43.92,2776,1122,1654,0.0,0,0,F,psg,qwen32
c5b2_py_sketch_generator,c5b26f5d,qwen2.5-coder:32b_b5b4_psg_batch,success,44.06,2782,1121,1661,0.0,0,0,F,psg,qwen32
e989_py_sketch_generator,e98979d7,qwen2.5-coder:32b_b5b4_psg_batch,success,46.5,2875,1122,1753,0.0,0,0,F,psg,qwen32
22bd_py_sketch_generator,22bde7d7,qwen2.5-coder:32b_b5b4_psg_batch,failure,118.87,7926,3472,4454,0.0,0,0,F,psg,qwen32
f3b4_py_sketch_generator,f3b45764,qwen2.5-coder:32b_b5b4_psg_batch,success,43.09,2746,1127,1619,0.0,0,0,F,psg,qwen32
3f45_py_sketch_generator,3f45c344,qwen2.5-coder:32b_b5b4_psg_batch,success,91.28,5923,2491,3432,0.0,0,0,F,psg,qwen32
0544_py_sketch_generator,0544f3e0,qwen2.5-coder:32b_b5b4_psg_batch,success,23.45,1326,436,890,0.0,0,0,F,psg,qwen32
eed6_py_sketch_generator,eed6d572,qwen2.5-coder:32b_b5b4_psg_batch,success,51.09,2992,1051,1941,0.0,0,0,F,psg,qwen32
df90_py_sketch_generator,df904940,qwen2.5-coder:32b_b5b4_psg_batch,success,46.85,2911,1148,1763,0.0,0,0,F,psg,qwen32
9554_py_sketch_generator,95546568,qwen2.5-coder:32b_b5b4_psg_batch,success,45.08,2812,1121,1691,0.0,0,0,F,psg,qwen32
bd52_py_sketch_generator,bd52f96d,qwen2.5-coder:32b_b5b4_psg_batch,success,50.1,2935,1039,1896,0.0,0,0,F,psg,qwen32
4b07_py_sketch_generator,4b0778d9,qwen2.5-coder:32b_b5b4_psg_batch,success,43.22,2743,1121,1622,0.0,0,0,F,psg,qwen32
7dd7_py_sketch_generator,7dd7b09d,qwen2.5-coder:32b_b5b4_psg_batch,success,69.58,4455,1845,2610,0.0,0,0,F,psg,qwen32
fe69_py_sketch_generator,fe69f2fe,qwen2.5-coder:32b_b5b4_psg_batch,failure,119.27,8286,3849,4437,0.0,0,0,F,psg,qwen32
0cf5_py_sketch_generator,0cf5b584,qwen2.5-coder:32b_b5b4_psg_batch,success,62.98,4104,1740,2364,0.0,0,0,F,psg,qwen32
d329_py_sketch_generator,d32900ab,qwen2.5-coder:32b_b5b4_psg_batch,success,23.57,1327,436,891,0.0,0,0,F,psg,qwen32
f9e5_py_sketch_generator,f9e5ea30,qwen2.5-coder:32b_b5b4_psg_batch,success,49.8,3009,1121,1888,0.0,0,0,F,psg,qwen32
2b96_py_sketch_generator,2b960686,qwen2.5-coder:32b_b5b4_psg_batch,success,44.66,2803,1126,1677,0.0,0,0,F,psg,qwen32
d172_py_sketch_generator,d17248e2,qwen2.5-coder:32b_b5b4_psg_batch,success,57.35,3277,1121,2156,0.0,0,0,F,psg,qwen32
8190_py_sketch_generator,8190449d,qwen2.5-coder:32b_b5b4_psg_batch,success,48.77,2952,1122,1830,0.0,0,0,F,psg,qwen32
182f_py_sketch_generator,182f27b9,qwen2.5-coder:32b_b5b4_psg_batch,success,43.24,2748,1122,1626,0.0,0,0,F,psg,qwen32
cecf_py_sketch_generator,cecfe249,qwen2.5-coder:32b_b5b4_psg_batch,failure,116.52,7492,3102,4390,0.0,0,0,F,psg,qwen32
172a_py_sketch_generator,172a6edb,qwen2.5-coder:32b_b5b4_psg_batch,success,42.86,2731,1122,1609,0.0,0,0,F,psg,qwen32
6c85_py_sketch_generator,6c85a0fa,qwen2.5-coder:32b_b5b4_psg_batch,success,50.92,3039,1121,1918,0.0,0,0,F,psg,qwen32
3c75_py_sketch_generator,3c75cc4f,qwen2.5-coder:32b_b5b4_psg_batch,success,40.76,2648,1121,1527,0.0,0,0,F,psg,qwen32
3272_py_sketch_generator,327287c0,qwen2.5-coder:32b_b5b4_psg_batch,failure,113.37,7635,3380,4255,0.0,0,0,F,psg,qwen32
bb65_py_sketch_generator,bb65e48f,qwen2.5-coder:32b_b5b4_psg_batch,success,21.44,1243,436,807,0.0,0,0,F,psg,qwen32
1af1_py_sketch_generator,1af1a59d,qwen2.5-coder:32b_b5b4_psg_batch,success,67.6,4296,1735,2561,0.0,0,0,F,psg,qwen32
6246_py_sketch_generator,6246c9b1,qwen2.5-coder:32b_b5b4_psg_batch,failure,120.45,8010,3501,4509,0.0,0,0,F,psg,qwen32
