metric,Model,Prompt_level,Processor,count,mean,median,std,min,Q1,Q3,max,IQR,lower_whisker,upper_whisker,outlier_count
Precision,gpt5,abla-l1,psg,30,0.826513,0.827300,0.010443,0.807427,0.818332,0.834930,0.847317,0.016598,0.807427,0.847317,0
Precision,gpt5,abla-l1,sg,3,0.831381,0.836078,0.013932,0.815708,0.825893,0.839218,0.842357,0.013324,0.815708,0.842357,0
Precision,gpt5,abla-l1,tpusg,30,0.810734,0.816312,0.014359,0.783676,0.797119,0.819960,0.834903,0.022841,0.783676,0.834903,0
Precision,gpt5,abla-l2,psg,30,0.798674,0.799578,0.013972,0.776612,0.788429,0.806920,0.821753,0.018491,0.776612,0.821753,0
Precision,gpt5,abla-l2,sg,21,0.819970,0.816256,0.009968,0.807338,0.813042,0.824660,0.839926,0.011618,0.807338,0.839926,0
Precision,gpt5,abla-l2,tpusg,30,0.810785,0.811928,0.012256,0.790660,0.800760,0.819089,0.833060,0.018329,0.790660,0.833060,0
Precision,gpt5,original,psg,29,0.787690,0.786631,0.008190,0.773992,0.783122,0.793384,0.803599,0.010262,0.773992,0.803599,0
Precision,gpt5,original,sg,30,0.832219,0.832035,0.006876,0.820863,0.828413,0.835524,0.853561,0.007111,0.820863,0.846190,1
Precision,gpt5,original,tpusg,27,0.812258,0.813080,0.009295,0.789063,0.807669,0.819269,0.826213,0.011599,0.790270,0.826213,2
Precision,phi4,abla-2p,psg,17,0.894301,0.894809,0.002417,0.890756,0.893481,0.894951,0.899417,0.001470,0.891275,0.897156,4
Precision,phi4,abla-2p,tpusg,48,0.907454,0.910822,0.006079,0.889351,0.903382,0.911072,0.915168,0.007690,0.891847,0.915168,2
Precision,phi4,abla-l1,psg,15,0.896183,0.896468,0.012230,0.876125,0.885169,0.907556,0.917507,0.022387,0.876125,0.917507,0
Precision,phi4,abla-l1,tpusg,12,0.908728,0.909703,0.006494,0.894930,0.907129,0.912392,0.917397,0.005263,0.899235,0.917397,2
Precision,phi4,abla-l2,psg,28,0.900718,0.904349,0.010870,0.866158,0.895134,0.907774,0.919104,0.012639,0.876176,0.919104,1
Precision,phi4,abla-l2,tpusg,27,0.898263,0.899233,0.008968,0.879843,0.892251,0.902442,0.917023,0.010191,0.879843,0.917023,0
Precision,phi4,original,psg,18,0.874955,0.888382,0.029905,0.793867,0.856428,0.895425,0.909531,0.038998,0.797931,0.909531,1
Precision,phi4,original,tpusg,30,0.894137,0.898434,0.011781,0.854822,0.886652,0.902289,0.908247,0.015637,0.863196,0.908247,1
Precision,qw32,abla-1p,psg,12,0.891717,0.892139,0.000949,0.889688,0.892099,0.892139,0.892139,0.000039,0.892040,0.892139,3
Precision,qw32,abla-2p,psg,30,0.905637,0.906995,0.005832,0.898669,0.899442,0.911678,0.914107,0.012235,0.898669,0.914107,0
Precision,qw32,abla-2p,tpusg,30,0.892506,0.889857,0.003228,0.889026,0.889612,0.895935,0.896740,0.006323,0.889026,0.896740,0
Precision,qw32,abla-l1,psg,24,0.907913,0.908618,0.006322,0.897575,0.902991,0.911459,0.920774,0.008468,0.897575,0.920774,0
Precision,qw32,abla-l1,tpusg,24,0.887680,0.882852,0.013054,0.866188,0.876369,0.899771,0.911547,0.023403,0.866188,0.911547,0
Precision,qw32,abla-l2,psg,25,0.900492,0.900200,0.008359,0.884375,0.895515,0.906739,0.916556,0.011224,0.884375,0.916556,0
Precision,qw32,abla-l2,tpusg,18,0.892105,0.893635,0.007870,0.875563,0.886445,0.896586,0.904462,0.010141,0.875563,0.904462,0
Precision,qw32,original,psg,18,0.891172,0.892404,0.011738,0.869990,0.880993,0.900333,0.908076,0.019340,0.869990,0.908076,0
Precision,qw32,original,tpusg,30,0.896683,0.895869,0.006072,0.884751,0.892813,0.901115,0.908990,0.008302,0.884751,0.908990,0
Recall,gpt5,abla-l1,psg,30,0.859334,0.859690,0.005171,0.850716,0.855929,0.861497,0.870003,0.005569,0.850716,0.869850,1
Recall,gpt5,abla-l1,sg,3,0.863242,0.864180,0.002828,0.860064,0.862122,0.864831,0.865481,0.002709,0.860064,0.865481,0
Recall,gpt5,abla-l1,tpusg,30,0.864825,0.863696,0.005072,0.857342,0.862461,0.867573,0.876781,0.005112,0.857342,0.875242,2
Recall,gpt5,abla-l2,psg,30,0.865226,0.864513,0.006202,0.849439,0.862689,0.868994,0.878232,0.006305,0.853231,0.878232,2
Recall,gpt5,abla-l2,sg,21,0.861896,0.863768,0.008124,0.844007,0.856427,0.865289,0.875700,0.008862,0.844007,0.875700,0
Recall,gpt5,abla-l2,tpusg,30,0.865951,0.866706,0.005170,0.851261,0.862598,0.869465,0.872863,0.006867,0.852297,0.872863,1
Recall,gpt5,original,psg,29,0.869522,0.870512,0.004849,0.857839,0.865507,0.873015,0.878785,0.007508,0.857839,0.878785,0
Recall,gpt5,original,sg,30,0.869411,0.869476,0.003352,0.861685,0.867436,0.871522,0.877166,0.004085,0.861685,0.877166,0
