metric,processor,processor_label,model,model_label,status,count,min,q1,median,q3,max,mean,iqr,lower_whisker,upper_whisker,n_outliers
latency,sg,ArdSG,codestral,Co22B,failure,30,81.61,105.995,114.195,130.185,146.61,117.02399999999997,24.189999999999998,81.61,146.61,0
latency,sg,ArdSG,gpt-4o,G4o,success,11,7.733686385498046,34.31271757795715,48.41174850564576,65.16105907899475,72.77571108737183,48.74891944669412,30.848341501037602,7.733686385498046,72.77571108737183,0
latency,sg,ArdSG,gpt-4o,G4o,failure,29,31.09,55.88748239050293,65.30629204226685,75.44666173315429,88.94,66.61981289115855,19.559179342651355,31.09,88.94,0
latency,sg,ArdSG,gpt-4o-mini,G4o-m,success,2,15.251895996368408,15.500003568588255,15.748111140808104,15.996218713027954,16.2443262852478,15.748111140808104,0.4962151444396987,15.251895996368408,16.2443262852478,0
latency,sg,ArdSG,gpt-4o-mini,G4o-m,failure,18,67.50490620687867,70.3283861119461,76.79446557441712,88.16691371248626,114.92987786102296,80.39193165774027,17.83852760054016,67.50490620687867,102.36040336825562,1
latency,sg,ArdSG,phi4,Phi4,success,1,30.36,30.36,30.36,30.36,30.36,30.36,0.0,30.36,30.36,0
latency,sg,ArdSG,phi4,Phi4,failure,29,76.67,85.57,90.35,94.36,260.94,99.92034482758619,8.790000000000006,76.67,103.79,4
latency,sg,ArdSG,codestral-p,Co22B-p,success,1,85.38,85.38,85.38,85.38,85.38,85.38,0.0,85.38,85.38,0
latency,sg,ArdSG,codestral-p,Co22B-p,failure,29,71.97,73.91,76.3,86.54,99.04,80.42379310344828,12.63000000000001,71.97,99.04,0
latency,sg,ArdSG,qwen14,Qw14B,failure,30,88.49,106.5375,117.05000000000001,122.83250000000001,299.85,121.34266666666666,16.295000000000016,88.49,133.47,2
latency,sg,ArdSG,qwen32,Qw32B,failure,30,239.14,250.58,255.82999999999998,261.03000000000003,274.91,255.69900000000004,10.450000000000017,239.14,274.91,0
latency,mc,MC,codestral,Co22B,success,16,8.14,15.344999999999999,23.810000000000002,33.199999999999996,41.34,24.348125000000003,17.854999999999997,8.14,41.34,0
latency,mc,MC,codestral,Co22B,failure,14,29.85,32.775,35.285,36.7675,44.9,36.065714285714286,3.9924999999999997,29.85,42.39,2
latency,mc,MC,gpt-4o,G4o,success,39,3.65172467980957,4.811030806533814,6.165386154296875,7.827324879882813,14.26,6.59125327065414,3.016294073348999,3.65172467980957,10.21236815625,1
latency,mc,MC,gpt-4o,G4o,failure,1,23.15,23.15,23.15,23.15,23.15,23.15,0.0,23.15,23.15,0
latency,mc,MC,gpt-4o-mini,G4o-m,success,15,3.0206099649047853,5.461605963516235,7.401046801849365,10.946214486114505,22.265292884887696,9.079089147591144,5.484608522598269,3.0206099649047853,18.555740223663328,1
latency,mc,MC,gpt-4o-mini,G4o-m,failure,5,17.931787210754393,18.35904758544922,20.26034702319336,23.94450998626709,34.664507687683106,23.03203989866943,5.585462400817871,17.931787210754393,23.94450998626709,1
latency,mc,MC,phi4,Phi4,success,29,3.83,4.36,5.08,15.94,41.03,11.161034482758623,11.579999999999998,3.83,27.62,2
latency,mc,MC,phi4,Phi4,failure,1,32.57,32.57,32.57,32.57,32.57,32.57,0.0,32.57,32.57,0
latency,mc,MC,codestral-p,Co22B-p,success,24,26.51,27.23,27.79,28.095,32.33,27.9875,0.8649999999999984,26.51,28.82,2
latency,mc,MC,codestral-p,Co22B-p,failure,6,28.71,30.38,30.845,31.7375,32.48,30.856666666666666,1.3575000000000017,28.71,32.48,0
latency,mc,MC,qwen14,Qw14B,success,17,7.23,8.84,11.18,25.49,36.77,16.672941176470587,16.65,7.23,36.77,0
latency,mc,MC,qwen14,Qw14B,failure,13,21.68,27.56,29.09,31.59,34.97,29.340769230769233,4.030000000000001,21.68,34.97,0
latency,mc,MC,qwen32,Qw32B,success,25,11.9,14.5,56.22,64.89,93.93,48.724799999999995,50.39,11.9,93.93,0
latency,mc,MC,qwen32,Qw32B,failure,5,75.71,91.16,93.32,95.16,100.76,91.22200000000001,4.0,91.16,100.76,1
