metric,processor,processor_label,model,model_label,prompt_type,prompt_type_label,status,count,min,q1,median,q3,max,mean,iqr,lower_whisker,upper_whisker,n_outliers
latency,sg,ArdSG,gpt-5,G5,abla-l1,Prompt L1,success,3,228.95,254.005,279.06,330.02,380.98,296.33,76.01499999999999,228.95,380.98,0
latency,sg,ArdSG,gpt-5,G5,abla-l1,Prompt L1,failure,27,263.47,331.145,392.85,413.1,493.98,379.4185185185185,81.95500000000004,263.47,493.98,0
latency,sg,ArdSG,gpt-5,G5,abla-l2,Prompt L2,success,21,158.93,188.84,235.16,294.17,478.1,263.85809523809525,105.33000000000001,158.93,451.65,1
latency,sg,ArdSG,gpt-5,G5,abla-l2,Prompt L2,failure,9,379.25,443.74,501.44,555.96,611.41,495.5577777777778,112.22000000000003,379.25,611.41,0
latency,sg,ArdSG,gpt-5,G5,original,Prompt Original,success,30,154.13,204.3875,230.365,295.3625,370.24,244.69999999999996,90.97500000000002,154.13,370.24,0
latency,sg,ArdSG,phi4,Phi4,abla-l1,Prompt L1,failure,30,78.95,88.6225,91.485,94.10499999999999,110.06,91.462,5.4824999999999875,82.34,100.66,3
latency,sg,ArdSG,phi4,Phi4,abla-l2,Prompt L2,failure,11,57.63,68.225,70.87,73.96000000000001,79.65,69.87272727272726,5.735000000000014,66.38,79.65,2
latency,sg,ArdSG,qwen32,Qw32B,abla-l1,Prompt L1,failure,30,171.04,184.01,194.38,203.02,226.86,194.861,19.01000000000002,171.04,226.86,0
latency,sg,ArdSG,qwen32,Qw32B,abla-l2,Prompt L2,failure,20,144.76,162.9625,170.18,180.0925,216.06,172.9015,17.129999999999995,144.76,202.56,1
latency,psg,PySG-CPU,gpt-5,G5,abla-l1,Prompt L1,success,30,52.85,71.6675,83.38999999999999,89.425,123.49,83.02199999999999,17.757499999999993,52.85,114.72,1
latency,psg,PySG-CPU,gpt-5,G5,abla-l2,Prompt L2,success,30,61.94,86.2175,114.115,149.2875,177.16,117.47833333333334,63.06999999999999,61.94,177.16,0
latency,psg,PySG-CPU,gpt-5,G5,original,Prompt Original,success,29,79.92,107.01,130.61,173.86,195.76,138.42310344827587,66.85000000000001,79.92,195.76,0
latency,psg,PySG-CPU,gpt-5,G5,original,Prompt Original,failure,1,511.64,511.64,511.64,511.64,511.64,511.64,0.0,511.64,511.64,0
latency,psg,PySG-CPU,phi4,Phi4,abla-l1,Prompt L1,success,15,13.95,40.385,47.62,55.2,76.65,48.376000000000005,14.815000000000005,29.04,76.65,1
latency,psg,PySG-CPU,phi4,Phi4,abla-l1,Prompt L1,failure,15,64.82,71.475,74.34,76.16499999999999,92.87,75.03866666666666,4.689999999999998,64.82,78.03,2
latency,psg,PySG-CPU,phi4,Phi4,abla-l2,Prompt L2,success,28,10.01,21.9625,24.33,38.765,61.88,28.853928571428575,16.802500000000002,10.01,61.88,0
latency,psg,PySG-CPU,phi4,Phi4,abla-l2,Prompt L2,failure,2,58.33,58.537499999999994,58.745,58.9525,59.16,58.745,0.41500000000000625,58.33,59.16,0
latency,psg,PySG-CPU,phi4,Phi4,original,Prompt Original,success,18,13.72,16.285,58.084999999999994,75.375,91.5,51.53666666666667,59.09,13.72,91.5,0
latency,psg,PySG-CPU,phi4,Phi4,original,Prompt Original,failure,12,79.14,83.92999999999999,87.35,94.35249999999999,102.67,89.16583333333334,10.4225,79.14,102.67,0
latency,psg,PySG-CPU,qwen32,Qw32B,abla-l1,Prompt L1,success,24,27.99,30.3725,71.375,92.4025,143.89,69.17083333333333,62.03,27.99,143.89,0
latency,psg,PySG-CPU,qwen32,Qw32B,abla-l1,Prompt L1,failure,6,140.77,141.4675,143.05,144.60250000000002,145.11,143.00666666666666,3.1350000000000193,140.77,145.11,0
latency,psg,PySG-CPU,qwen32,Qw32B,abla-l2,Prompt L2,success,25,21.44,43.22,46.5,51.09,126.39,51.142399999999995,7.8700000000000045,40.76,57.35,8
latency,psg,PySG-CPU,qwen32,Qw32B,abla-l2,Prompt L2,failure,5,113.37,116.52,118.87,119.27,120.45,117.696,2.75,113.37,120.45,0
latency,psg,PySG-CPU,qwen32,Qw32B,original,Prompt Original,success,18,18.41,19.697499999999998,22.53,84.1875,125.23,53.17333333333333,64.49000000000001,18.41,125.23,0
latency,psg,PySG-CPU,qwen32,Qw32B,original,Prompt Original,failure,12,121.76,123.965,128.56,132.555,143.62,128.96583333333334,8.590000000000003,121.76,143.62,0
latency,tpusg,PySG-TPU,gpt-5,G5,abla-l1,Prompt L1,success,30,70.79,108.74000000000001,124.06,142.9275,336.96,136.46,34.1875,70.79,187.28,2
latency,tpusg,PySG-TPU,gpt-5,G5,abla-l2,Prompt L2,success,30,48.82,75.615,89.44,111.2625,336.28,108.15166666666666,35.64750000000001,48.82,159.63,3
latency,tpusg,PySG-TPU,gpt-5,G5,original,Prompt Original,success,27,71.66,107.71000000000001,147.25,172.685,332.47,149.4477777777778,64.975,71.66,225.28,1
