model,model_label,category,category_label,status,latency,cost_cents
gpt-4o,G4o,dp,DP✔,success,44.75010614032435,7.186345111111112
gpt-4o,G4o,mc,MC✔,success,6.0916292518503825,0.6299833333333333
gpt-4o,G4o,sg,ArdSG✔,success,48.74891944669412,8.67222809090909
gpt-4o,G4o,Total-Success,Total✔,success,28.34176260673388,4.534195985294118
gpt-4o,G4o,Total-Failure,Total✖,failure,68.39349540569653,11.86640040909091
gpt-4o-mini,G4o-m,dp,DP✔,success,78.76313461008056,0.47412643994000003
gpt-4o-mini,G4o-m,mc,MC✔,success,8.770680717244465,0.07929087497916668
gpt-4o-mini,G4o-m,sg,ArdSG✔,success,15.748111140808104,0.13575
gpt-4o-mini,G4o-m,Total-Success,Total✔,success,43.354331857794065,0.27505180388235295
gpt-4o-mini,G4o-m,Total-Failure,Total✖,failure,67.22763320361486,0.5528570768435899
