model,model_label,processor,processor_label,prompt_type,prompt_type_label,success_count,failure_count,total,success_rate
gpt-5,G5,sg,ArdSG,abla-l1,Prompt L1,3.0,27.0,30.0,0.1
gpt-5,G5,psg,PySG-CPU,abla-l1,Prompt L1,30.0,0.0,30.0,1.0
gpt-5,G5,tpusg,PySG-TPU,abla-l1,Prompt L1,30.0,0.0,30.0,1.0
gpt-5,G5,sg,ArdSG,abla-l2,Prompt L2,21.0,9.0,30.0,0.7
gpt-5,G5,psg,PySG-CPU,abla-l2,Prompt L2,30.0,0.0,30.0,1.0
gpt-5,G5,tpusg,PySG-TPU,abla-l2,Prompt L2,30.0,0.0,30.0,1.0
gpt-5,G5,sg,ArdSG,original,Prompt Original,30.0,0.0,30.0,1.0
gpt-5,G5,psg,PySG-CPU,original,Prompt Original,29.0,1.0,30.0,0.9666666666666667
gpt-5,G5,tpusg,PySG-TPU,original,Prompt Original,27.0,3.0,30.0,0.9
phi4,Phi4,sg,ArdSG,abla-l1,Prompt L1,0.0,30.0,30.0,0.0
phi4,Phi4,psg,PySG-CPU,abla-l1,Prompt L1,15.0,15.0,30.0,0.5
phi4,Phi4,tpusg,PySG-TPU,abla-l1,Prompt L1,12.0,18.0,30.0,0.4
phi4,Phi4,sg,ArdSG,abla-l2,Prompt L2,0.0,11.0,11.0,0.0
phi4,Phi4,psg,PySG-CPU,abla-l2,Prompt L2,28.0,2.0,30.0,0.9333333333333333
phi4,Phi4,tpusg,PySG-TPU,abla-l2,Prompt L2,27.0,3.0,30.0,0.9
phi4,Phi4,psg,PySG-CPU,original,Prompt Original,18.0,12.0,30.0,0.6
phi4,Phi4,tpusg,PySG-TPU,original,Prompt Original,30.0,0.0,30.0,1.0
phi4,Phi4,sg,ArdSG,abla-1p,Prompt L1-P,0.0,30.0,30.0,0.0
phi4,Phi4,psg,PySG-CPU,abla-1p,Prompt L1-P,0.0,30.0,30.0,0.0
phi4,Phi4,tpusg,PySG-TPU,abla-1p,Prompt L1-P,0.0,30.0,30.0,0.0
phi4,Phi4,sg,ArdSG,abla-2p,Prompt L2-P,0.0,30.0,30.0,0.0
phi4,Phi4,psg,PySG-CPU,abla-2p,Prompt L2-P,11.0,19.0,30.0,0.36666666666666664
phi4,Phi4,tpusg,PySG-TPU,abla-2p,Prompt L2-P,24.0,6.0,30.0,0.8
qwen32,Qw32B,sg,ArdSG,abla-l1,Prompt L1,0.0,30.0,30.0,0.0
qwen32,Qw32B,psg,PySG-CPU,abla-l1,Prompt L1,24.0,6.0,30.0,0.8
qwen32,Qw32B,tpusg,PySG-TPU,abla-l1,Prompt L1,24.0,6.0,30.0,0.8
qwen32,Qw32B,sg,ArdSG,abla-l2,Prompt L2,0.0,20.0,20.0,0.0
qwen32,Qw32B,psg,PySG-CPU,abla-l2,Prompt L2,25.0,5.0,30.0,0.8333333333333334
qwen32,Qw32B,tpusg,PySG-TPU,abla-l2,Prompt L2,18.0,12.0,30.0,0.6
qwen32,Qw32B,psg,PySG-CPU,original,Prompt Original,18.0,12.0,30.0,0.6
qwen32,Qw32B,tpusg,PySG-TPU,original,Prompt Original,30.0,0.0,30.0,1.0
qwen32,Qw32B,sg,ArdSG,abla-1p,Prompt L1-P,0.0,30.0,30.0,0.0
qwen32,Qw32B,psg,PySG-CPU,abla-1p,Prompt L1-P,12.0,18.0,30.0,0.4
qwen32,Qw32B,tpusg,PySG-TPU,abla-1p,Prompt L1-P,0.0,30.0,30.0,0.0
qwen32,Qw32B,sg,ArdSG,abla-2p,Prompt L2-P,0.0,30.0,30.0,0.0
qwen32,Qw32B,psg,PySG-CPU,abla-2p,Prompt L2-P,30.0,0.0,30.0,1.0
qwen32,Qw32B,tpusg,PySG-TPU,abla-2p,Prompt L2-P,30.0,0.0,30.0,1.0
